,x,y,X,judge_value,w,b
0,[[6.2 2.8]],1,[6.2 2.8],[[54.38]],"[[ 32.7]
 [-48.7]]",-12
1,[[5.9 3. ]],1,[5.9 3. ],[[34.83]],"[[ 32.7]
 [-48.7]]",-12
2,[[6.7 3.3]],1,[6.7 3.3],[[46.38]],"[[ 32.7]
 [-48.7]]",-12
3,[[7.7 3.8]],1,[7.7 3.8],[[54.73]],"[[ 32.7]
 [-48.7]]",-12
4,[[5.4 3.4]],-1,[5.4 3.4],[[1.]],"[[ 32.7]
 [-48.7]]",-12
5,[[6.3 2.5]],1,[6.3 2.5],[[72.26]],"[[ 32.7]
 [-48.7]]",-12
6,[[5.  3.2]],-1,[5.  3.2],[[4.34]],"[[ 32.7]
 [-48.7]]",-12
7,[[4.6 3.4]],-1,[4.6 3.4],[[27.16]],"[[ 32.7]
 [-48.7]]",-12
8,[[5.7 4.4]],-1,[5.7 4.4],[[39.89]],"[[ 32.7]
 [-48.7]]",-12
9,[[5.2 3.4]],-1,[5.2 3.4],[[7.54]],"[[ 32.7]
 [-48.7]]",-12
10,[[6.2 2.9]],1,[6.2 2.9],[[49.51]],"[[ 32.7]
 [-48.7]]",-12
11,[[6.3 3.3]],1,[6.3 3.3],[[33.3]],"[[ 32.7]
 [-48.7]]",-12
12,[[5.5 2.4]],1,[5.5 2.4],[[50.97]],"[[ 32.7]
 [-48.7]]",-12
13,[[5.1 2.5]],1,[5.1 2.5],[[33.02]],"[[ 32.7]
 [-48.7]]",-12
14,[[5.9 3. ]],1,[5.9 3. ],[[34.83]],"[[ 32.7]
 [-48.7]]",-12
15,[[5. 2.]],1,[5. 2.],[[54.1]],"[[ 32.7]
 [-48.7]]",-12
16,[[6.5 3. ]],1,[6.5 3. ],[[54.45]],"[[ 32.7]
 [-48.7]]",-12
17,[[6.5 3. ]],1,[6.5 3. ],[[54.45]],"[[ 32.7]
 [-48.7]]",-12
18,[[6.9 3.1]],1,[6.9 3.1],[[62.66]],"[[ 32.7]
 [-48.7]]",-12
19,[[4.6 3.6]],-1,[4.6 3.6],[[36.9]],"[[ 32.7]
 [-48.7]]",-12
20,[[6.6 3. ]],1,[6.6 3. ],[[57.72]],"[[ 32.7]
 [-48.7]]",-12
21,[[4.9 3.1]],-1,[4.9 3.1],[[2.74]],"[[ 32.7]
 [-48.7]]",-12
22,[[6.7 3. ]],1,[6.7 3. ],[[60.99]],"[[ 32.7]
 [-48.7]]",-12
23,[[6.7 3. ]],1,[6.7 3. ],[[60.99]],"[[ 32.7]
 [-48.7]]",-12
24,[[5.6 2.9]],1,[5.6 2.9],[[29.89]],"[[ 32.7]
 [-48.7]]",-12
25,[[6.3 3.4]],1,[6.3 3.4],[[28.43]],"[[ 32.7]
 [-48.7]]",-12
26,[[5.6 2.7]],1,[5.6 2.7],[[39.63]],"[[ 32.7]
 [-48.7]]",-12
27,[[6.1 3. ]],1,[6.1 3. ],[[41.37]],"[[ 32.7]
 [-48.7]]",-12
28,[[6.3 2.3]],1,[6.3 2.3],[[82.]],"[[ 32.7]
 [-48.7]]",-12
29,[[5.8 2.6]],1,[5.8 2.6],[[51.04]],"[[ 32.7]
 [-48.7]]",-12
30,[[5.7 3. ]],1,[5.7 3. ],[[28.29]],"[[ 32.7]
 [-48.7]]",-12
31,[[6.9 3.1]],1,[6.9 3.1],[[62.66]],"[[ 32.7]
 [-48.7]]",-12
32,[[6.8 2.8]],1,[6.8 2.8],[[74.]],"[[ 32.7]
 [-48.7]]",-12
33,[[5.2 4.1]],-1,[5.2 4.1],[[41.63]],"[[ 32.7]
 [-48.7]]",-12
34,[[5.8 2.7]],1,[5.8 2.7],[[46.17]],"[[ 32.7]
 [-48.7]]",-12
35,[[4.3 3. ]],-1,[4.3 3. ],[[17.49]],"[[ 32.7]
 [-48.7]]",-12
36,[[4.8 3.4]],-1,[4.8 3.4],[[20.62]],"[[ 32.7]
 [-48.7]]",-12
37,[[5.2 2.7]],1,[5.2 2.7],[[26.55]],"[[ 32.7]
 [-48.7]]",-12
38,[[4.8 3. ]],-1,[4.8 3. ],[[1.14]],"[[ 32.7]
 [-48.7]]",-12
39,[[4.9 3.1]],-1,[4.9 3.1],[[2.74]],"[[ 32.7]
 [-48.7]]",-12
40,[[7.9 3.8]],1,[7.9 3.8],[[61.27]],"[[ 32.7]
 [-48.7]]",-12
41,[[5.  2.3]],1,[5.  2.3],[[39.49]],"[[ 32.7]
 [-48.7]]",-12
42,[[4.6 3.2]],-1,[4.6 3.2],[[17.42]],"[[ 32.7]
 [-48.7]]",-12
43,[[6.5 3. ]],1,[6.5 3. ],[[54.45]],"[[ 32.7]
 [-48.7]]",-12
44,[[4.9 3.1]],-1,[4.9 3.1],[[2.74]],"[[ 32.7]
 [-48.7]]",-12
45,[[6.  2.2]],1,[6.  2.2],[[77.06]],"[[ 32.7]
 [-48.7]]",-12
46,[[5.5 2.6]],1,[5.5 2.6],[[41.23]],"[[ 32.7]
 [-48.7]]",-12
47,[[5.8 4. ]],-1,[5.8 4. ],[[17.14]],"[[ 32.7]
 [-48.7]]",-12
48,[[5.4 3.9]],-1,[5.4 3.9],[[25.35]],"[[ 32.7]
 [-48.7]]",-12
49,[[6.4 2.7]],1,[6.4 2.7],[[65.79]],"[[ 32.7]
 [-48.7]]",-12
50,[[6.  3.4]],1,[6.  3.4],[[18.62]],"[[ 32.7]
 [-48.7]]",-12
51,[[5.5 2.5]],1,[5.5 2.5],[[46.1]],"[[ 32.7]
 [-48.7]]",-12
