,x,y,X,judge_value,w,b
0,[[6.2 2.8]],1,[6.2 2.8],[[61.42]],"[[ 37.1]
 [-54.5]]",-16
1,[[5.9 3. ]],1,[5.9 3. ],[[39.39]],"[[ 37.1]
 [-54.5]]",-16
2,[[6.7 3.3]],1,[6.7 3.3],[[52.72]],"[[ 37.1]
 [-54.5]]",-16
3,[[7.7 3.8]],1,[7.7 3.8],[[62.57]],"[[ 37.1]
 [-54.5]]",-16
4,[[5.4 3.4]],-1,[5.4 3.4],[[0.96]],"[[ 37.1]
 [-54.5]]",-16
5,[[6.3 2.5]],1,[6.3 2.5],[[81.48]],"[[ 37.1]
 [-54.5]]",-16
6,[[5.  3.2]],-1,[5.  3.2],[[4.9]],"[[ 37.1]
 [-54.5]]",-16
7,[[4.6 3.4]],-1,[4.6 3.4],[[30.64]],"[[ 37.1]
 [-54.5]]",-16
8,[[5.7 4.4]],-1,[5.7 4.4],[[44.33]],"[[ 37.1]
 [-54.5]]",-16
9,[[5.2 3.4]],-1,[5.2 3.4],[[8.38]],"[[ 37.1]
 [-54.5]]",-16
10,[[6.2 2.9]],1,[6.2 2.9],[[55.97]],"[[ 37.1]
 [-54.5]]",-16
11,[[6.3 3.3]],1,[6.3 3.3],[[37.88]],"[[ 37.1]
 [-54.5]]",-16
12,[[5.5 2.4]],1,[5.5 2.4],[[57.25]],"[[ 37.1]
 [-54.5]]",-16
13,[[5.1 2.5]],1,[5.1 2.5],[[36.96]],"[[ 37.1]
 [-54.5]]",-16
14,[[5.9 3. ]],1,[5.9 3. ],[[39.39]],"[[ 37.1]
 [-54.5]]",-16
15,[[5. 2.]],1,[5. 2.],[[60.5]],"[[ 37.1]
 [-54.5]]",-16
16,[[6.5 3. ]],1,[6.5 3. ],[[61.65]],"[[ 37.1]
 [-54.5]]",-16
17,[[6.5 3. ]],1,[6.5 3. ],[[61.65]],"[[ 37.1]
 [-54.5]]",-16
18,[[6.9 3.1]],1,[6.9 3.1],[[71.04]],"[[ 37.1]
 [-54.5]]",-16
19,[[4.6 3.6]],-1,[4.6 3.6],[[41.54]],"[[ 37.1]
 [-54.5]]",-16
20,[[6.6 3. ]],1,[6.6 3. ],[[65.36]],"[[ 37.1]
 [-54.5]]",-16
21,[[4.9 3.1]],-1,[4.9 3.1],[[3.16]],"[[ 37.1]
 [-54.5]]",-16
22,[[6.7 3. ]],1,[6.7 3. ],[[69.07]],"[[ 37.1]
 [-54.5]]",-16
23,[[6.7 3. ]],1,[6.7 3. ],[[69.07]],"[[ 37.1]
 [-54.5]]",-16
24,[[5.6 2.9]],1,[5.6 2.9],[[33.71]],"[[ 37.1]
 [-54.5]]",-16
25,[[6.3 3.4]],1,[6.3 3.4],[[32.43]],"[[ 37.1]
 [-54.5]]",-16
26,[[5.6 2.7]],1,[5.6 2.7],[[44.61]],"[[ 37.1]
 [-54.5]]",-16
27,[[6.1 3. ]],1,[6.1 3. ],[[46.81]],"[[ 37.1]
 [-54.5]]",-16
28,[[6.3 2.3]],1,[6.3 2.3],[[92.38]],"[[ 37.1]
 [-54.5]]",-16
29,[[5.8 2.6]],1,[5.8 2.6],[[57.48]],"[[ 37.1]
 [-54.5]]",-16
30,[[5.7 3. ]],1,[5.7 3. ],[[31.97]],"[[ 37.1]
 [-54.5]]",-16
31,[[6.9 3.1]],1,[6.9 3.1],[[71.04]],"[[ 37.1]
 [-54.5]]",-16
32,[[6.8 2.8]],1,[6.8 2.8],[[83.68]],"[[ 37.1]
 [-54.5]]",-16
33,[[5.2 4.1]],-1,[5.2 4.1],[[46.53]],"[[ 37.1]
 [-54.5]]",-16
34,[[5.8 2.7]],1,[5.8 2.7],[[52.03]],"[[ 37.1]
 [-54.5]]",-16
35,[[4.3 3. ]],-1,[4.3 3. ],[[19.97]],"[[ 37.1]
 [-54.5]]",-16
36,[[4.8 3.4]],-1,[4.8 3.4],[[23.22]],"[[ 37.1]
 [-54.5]]",-16
37,[[5.2 2.7]],1,[5.2 2.7],[[29.77]],"[[ 37.1]
 [-54.5]]",-16
38,[[4.8 3. ]],-1,[4.8 3. ],[[1.42]],"[[ 37.1]
 [-54.5]]",-16
39,[[4.9 3.1]],-1,[4.9 3.1],[[3.16]],"[[ 37.1]
 [-54.5]]",-16
40,[[7.9 3.8]],1,[7.9 3.8],[[69.99]],"[[ 37.1]
 [-54.5]]",-16
41,[[5.  2.3]],1,[5.  2.3],[[44.15]],"[[ 37.1]
 [-54.5]]",-16
42,[[4.6 3.2]],-1,[4.6 3.2],[[19.74]],"[[ 37.1]
 [-54.5]]",-16
43,[[6.5 3. ]],1,[6.5 3. ],[[61.65]],"[[ 37.1]
 [-54.5]]",-16
44,[[4.9 3.1]],-1,[4.9 3.1],[[3.16]],"[[ 37.1]
 [-54.5]]",-16
45,[[6.  2.2]],1,[6.  2.2],[[86.7]],"[[ 37.1]
 [-54.5]]",-16
46,[[5.5 2.6]],1,[5.5 2.6],[[46.35]],"[[ 37.1]
 [-54.5]]",-16
47,[[5.8 4. ]],-1,[5.8 4. ],[[18.82]],"[[ 37.1]
 [-54.5]]",-16
48,[[5.4 3.9]],-1,[5.4 3.9],[[28.21]],"[[ 37.1]
 [-54.5]]",-16
49,[[6.4 2.7]],1,[6.4 2.7],[[74.29]],"[[ 37.1]
 [-54.5]]",-16
50,[[6.  3.4]],1,[6.  3.4],[[21.3]],"[[ 37.1]
 [-54.5]]",-16
51,[[5.5 2.5]],1,[5.5 2.5],[[51.8]],"[[ 37.1]
 [-54.5]]",-16
52,[[5.5 4.2]],-1,[5.5 4.2],[[40.85]],"[[ 37.1]
 [-54.5]]",-16
53,[[4.7 3.2]],-1,[4.7 3.2],[[16.03]],"[[ 37.1]
 [-54.5]]",-16
54,[[6.9 3.2]],1,[6.9 3.2],[[65.59]],"[[ 37.1]
 [-54.5]]",-16
55,[[6.  2.9]],1,[6.  2.9],[[48.55]],"[[ 37.1]
 [-54.5]]",-16
56,[[6.1 3. ]],1,[6.1 3. ],[[46.81]],"[[ 37.1]
 [-54.5]]",-16
57,[[4.6 3.1]],-1,[4.6 3.1],[[14.29]],"[[ 37.1]
 [-54.5]]",-16
58,[[5.7 2.8]],1,[5.7 2.8],[[42.87]],"[[ 37.1]
 [-54.5]]",-16
59,[[6. 3.]],1,[6. 3.],[[43.1]],"[[ 37.1]
 [-54.5]]",-16
60,[[5.8 2.7]],1,[5.8 2.7],[[52.03]],"[[ 37.1]
 [-54.5]]",-16
61,[[4.8 3.4]],-1,[4.8 3.4],[[23.22]],"[[ 37.1]
 [-54.5]]",-16
62,[[6.  2.2]],1,[6.  2.2],[[86.7]],"[[ 37.1]
 [-54.5]]",-16
63,[[6.4 3.1]],1,[6.4 3.1],[[52.49]],"[[ 37.1]
 [-54.5]]",-16
64,[[6.7 2.5]],1,[6.7 2.5],[[96.32]],"[[ 37.1]
 [-54.5]]",-16
65,[[6.3 3.3]],1,[6.3 3.3],[[37.88]],"[[ 37.1]
 [-54.5]]",-16
66,[[6.8 3.2]],1,[6.8 3.2],[[61.88]],"[[ 37.1]
 [-54.5]]",-16
67,[[5.7 3.8]],-1,[5.7 3.8],[[11.63]],"[[ 37.1]
 [-54.5]]",-16
68,[[5.1 3.8]],-1,[5.1 3.8],[[33.89]],"[[ 37.1]
 [-54.5]]",-16
69,[[6.  2.7]],1,[6.  2.7],[[59.45]],"[[ 37.1]
 [-54.5]]",-16
70,[[7.7 2.8]],1,[7.7 2.8],[[117.07]],"[[ 37.1]
 [-54.5]]",-16
71,[[4.4 3. ]],-1,[4.4 3. ],[[16.26]],"[[ 37.1]
 [-54.5]]",-16
72,[[6.2 2.2]],1,[6.2 2.2],[[94.12]],"[[ 37.1]
 [-54.5]]",-16
73,[[4.7 3.2]],-1,[4.7 3.2],[[16.03]],"[[ 37.1]
 [-54.5]]",-16
74,[[5.4 3.4]],-1,[5.4 3.4],[[0.96]],"[[ 37.1]
 [-54.5]]",-16
75,[[6.7 3.1]],1,[6.7 3.1],[[63.62]],"[[ 37.1]
 [-54.5]]",-16
