,x,y,X,judge_value,w,b
0,[[6.2 2.8]],1,[6.2 2.8],[[55.02]],"[[ 60.9]
 [-85.2]]",-84
1,[[5.9 3. ]],1,[5.9 3. ],[[19.71]],"[[ 60.9]
 [-85.2]]",-84
2,[[6.7 3.3]],1,[6.7 3.3],[[42.87]],"[[ 60.9]
 [-85.2]]",-84
3,[[7.7 3.8]],1,[7.7 3.8],[[61.17]],"[[ 60.9]
 [-85.2]]",-84
4,[[5.4 3.4]],-1,[5.4 3.4],[[44.82]],"[[ 60.9]
 [-85.2]]",-84
5,[[6.3 2.5]],1,[6.3 2.5],[[86.67]],"[[ 60.9]
 [-85.2]]",-84
6,[[5.  3.2]],-1,[5.  3.2],[[52.14]],"[[ 60.9]
 [-85.2]]",-84
7,[[4.6 3.4]],-1,[4.6 3.4],[[93.54]],"[[ 60.9]
 [-85.2]]",-84
8,[[5.7 4.4]],-1,[5.7 4.4],[[111.75]],"[[ 60.9]
 [-85.2]]",-84
9,[[5.2 3.4]],-1,[5.2 3.4],[[57.]],"[[ 60.9]
 [-85.2]]",-84
10,[[6.2 2.9]],1,[6.2 2.9],[[46.5]],"[[ 60.9]
 [-85.2]]",-84
11,[[6.3 3.3]],1,[6.3 3.3],[[18.51]],"[[ 60.9]
 [-85.2]]",-84
12,[[5.5 2.4]],1,[5.5 2.4],[[46.47]],"[[ 60.9]
 [-85.2]]",-84
13,[[5.1 2.5]],1,[5.1 2.5],[[13.59]],"[[ 60.9]
 [-85.2]]",-84
14,[[5.9 3. ]],1,[5.9 3. ],[[19.71]],"[[ 60.9]
 [-85.2]]",-84
15,[[5. 2.]],1,[5. 2.],[[50.1]],"[[ 60.9]
 [-85.2]]",-84
16,[[6.5 3. ]],1,[6.5 3. ],[[56.25]],"[[ 60.9]
 [-85.2]]",-84
17,[[6.5 3. ]],1,[6.5 3. ],[[56.25]],"[[ 60.9]
 [-85.2]]",-84
18,[[6.9 3.1]],1,[6.9 3.1],[[72.09]],"[[ 60.9]
 [-85.2]]",-84
19,[[4.6 3.6]],-1,[4.6 3.6],[[110.58]],"[[ 60.9]
 [-85.2]]",-84
20,[[6.6 3. ]],1,[6.6 3. ],[[62.34]],"[[ 60.9]
 [-85.2]]",-84
21,[[4.9 3.1]],-1,[4.9 3.1],[[49.71]],"[[ 60.9]
 [-85.2]]",-84
22,[[6.7 3. ]],1,[6.7 3. ],[[68.43]],"[[ 60.9]
 [-85.2]]",-84
23,[[6.7 3. ]],1,[6.7 3. ],[[68.43]],"[[ 60.9]
 [-85.2]]",-84
24,[[5.6 2.9]],1,[5.6 2.9],[[9.96]],"[[ 60.9]
 [-85.2]]",-84
25,[[6.3 3.4]],1,[6.3 3.4],[[9.99]],"[[ 60.9]
 [-85.2]]",-84
26,[[5.6 2.7]],1,[5.6 2.7],[[27.]],"[[ 60.9]
 [-85.2]]",-84
27,[[6.1 3. ]],1,[6.1 3. ],[[31.89]],"[[ 60.9]
 [-85.2]]",-84
28,[[6.3 2.3]],1,[6.3 2.3],[[103.71]],"[[ 60.9]
 [-85.2]]",-84
29,[[5.8 2.6]],1,[5.8 2.6],[[47.7]],"[[ 60.9]
 [-85.2]]",-84
30,[[5.7 3. ]],1,[5.7 3. ],[[7.53]],"[[ 60.9]
 [-85.2]]",-84
31,[[6.9 3.1]],1,[6.9 3.1],[[72.09]],"[[ 60.9]
 [-85.2]]",-84
32,[[6.8 2.8]],1,[6.8 2.8],[[91.56]],"[[ 60.9]
 [-85.2]]",-84
33,[[5.2 4.1]],-1,[5.2 4.1],[[116.64]],"[[ 60.9]
 [-85.2]]",-84
34,[[5.8 2.7]],1,[5.8 2.7],[[39.18]],"[[ 60.9]
 [-85.2]]",-84
35,[[4.3 3. ]],-1,[4.3 3. ],[[77.73]],"[[ 60.9]
 [-85.2]]",-84
36,[[4.8 3.4]],-1,[4.8 3.4],[[81.36]],"[[ 60.9]
 [-85.2]]",-84
37,[[5.2 2.7]],1,[5.2 2.7],[[2.64]],"[[ 60.9]
 [-85.2]]",-84
38,[[4.8 3. ]],-1,[4.8 3. ],[[47.28]],"[[ 60.9]
 [-85.2]]",-84
39,[[4.9 3.1]],-1,[4.9 3.1],[[49.71]],"[[ 60.9]
 [-85.2]]",-84
40,[[7.9 3.8]],1,[7.9 3.8],[[73.35]],"[[ 60.9]
 [-85.2]]",-84
41,[[5.  2.3]],1,[5.  2.3],[[24.54]],"[[ 60.9]
 [-85.2]]",-84
42,[[4.6 3.2]],-1,[4.6 3.2],[[76.5]],"[[ 60.9]
 [-85.2]]",-84
43,[[6.5 3. ]],1,[6.5 3. ],[[56.25]],"[[ 60.9]
 [-85.2]]",-84
44,[[4.9 3.1]],-1,[4.9 3.1],[[49.71]],"[[ 60.9]
 [-85.2]]",-84
45,[[6.  2.2]],1,[6.  2.2],[[93.96]],"[[ 60.9]
 [-85.2]]",-84
46,[[5.5 2.6]],1,[5.5 2.6],[[29.43]],"[[ 60.9]
 [-85.2]]",-84
47,[[5.8 4. ]],-1,[5.8 4. ],[[71.58]],"[[ 60.9]
 [-85.2]]",-84
48,[[5.4 3.9]],-1,[5.4 3.9],[[87.42]],"[[ 60.9]
 [-85.2]]",-84
49,[[6.4 2.7]],1,[6.4 2.7],[[75.72]],"[[ 60.9]
 [-85.2]]",-84
50,[[6.  3.4]],1,[6.  3.4],[[-8.28]],"[[ 66.9]
 [-81.8]]",-83
51,[[5.5 2.5]],1,[5.5 2.5],[[80.45]],"[[ 66.9]
 [-81.8]]",-83
52,[[5.5 4.2]],-1,[5.5 4.2],[[58.61]],"[[ 66.9]
 [-81.8]]",-83
53,[[4.7 3.2]],-1,[4.7 3.2],[[30.33]],"[[ 66.9]
 [-81.8]]",-83
54,[[6.9 3.2]],1,[6.9 3.2],[[116.85]],"[[ 66.9]
 [-81.8]]",-83
55,[[6.  2.9]],1,[6.  2.9],[[81.18]],"[[ 66.9]
 [-81.8]]",-83
56,[[6.1 3. ]],1,[6.1 3. ],[[79.69]],"[[ 66.9]
 [-81.8]]",-83
57,[[4.6 3.1]],-1,[4.6 3.1],[[28.84]],"[[ 66.9]
 [-81.8]]",-83
58,[[5.7 2.8]],1,[5.7 2.8],[[69.29]],"[[ 66.9]
 [-81.8]]",-83
59,[[6. 3.]],1,[6. 3.],[[73.]],"[[ 66.9]
 [-81.8]]",-83
60,[[5.8 2.7]],1,[5.8 2.7],[[84.16]],"[[ 66.9]
 [-81.8]]",-83
61,[[4.8 3.4]],-1,[4.8 3.4],[[40.]],"[[ 66.9]
 [-81.8]]",-83
62,[[6.  2.2]],1,[6.  2.2],[[138.44]],"[[ 66.9]
 [-81.8]]",-83
63,[[6.4 3.1]],1,[6.4 3.1],[[91.58]],"[[ 66.9]
 [-81.8]]",-83
64,[[6.7 2.5]],1,[6.7 2.5],[[160.73]],"[[ 66.9]
 [-81.8]]",-83
65,[[6.3 3.3]],1,[6.3 3.3],[[68.53]],"[[ 66.9]
 [-81.8]]",-83
66,[[6.8 3.2]],1,[6.8 3.2],[[110.16]],"[[ 66.9]
 [-81.8]]",-83
67,[[5.7 3.8]],-1,[5.7 3.8],[[12.51]],"[[ 66.9]
 [-81.8]]",-83
68,[[5.1 3.8]],-1,[5.1 3.8],[[52.65]],"[[ 66.9]
 [-81.8]]",-83
69,[[6.  2.7]],1,[6.  2.7],[[97.54]],"[[ 66.9]
 [-81.8]]",-83
70,[[7.7 2.8]],1,[7.7 2.8],[[203.09]],"[[ 66.9]
 [-81.8]]",-83
71,[[4.4 3. ]],-1,[4.4 3. ],[[34.04]],"[[ 66.9]
 [-81.8]]",-83
72,[[6.2 2.2]],1,[6.2 2.2],[[151.82]],"[[ 66.9]
 [-81.8]]",-83
73,[[4.7 3.2]],-1,[4.7 3.2],[[30.33]],"[[ 66.9]
 [-81.8]]",-83
74,[[5.4 3.4]],-1,[5.4 3.4],[[-0.14]],"[[ 61.5]
 [-85.2]]",-84
75,[[6.7 3.1]],1,[6.7 3.1],[[63.93]],"[[ 61.5]
 [-85.2]]",-84
76,[[6.4 3.2]],1,[6.4 3.2],[[36.96]],"[[ 61.5]
 [-85.2]]",-84
77,[[7.6 3. ]],1,[7.6 3. ],[[127.8]],"[[ 61.5]
 [-85.2]]",-84
78,[[5.5 3.5]],-1,[5.5 3.5],[[43.95]],"[[ 61.5]
 [-85.2]]",-84
79,[[6.5 3.2]],1,[6.5 3.2],[[43.11]],"[[ 61.5]
 [-85.2]]",-84
80,[[5.  3.6]],-1,[5.  3.6],[[83.22]],"[[ 61.5]
 [-85.2]]",-84
81,[[6.9 3.1]],1,[6.9 3.1],[[76.23]],"[[ 61.5]
 [-85.2]]",-84
82,[[5.1 3.5]],-1,[5.1 3.5],[[68.55]],"[[ 61.5]
 [-85.2]]",-84
83,[[6.6 2.9]],1,[6.6 2.9],[[74.82]],"[[ 61.5]
 [-85.2]]",-84
84,[[5.4 3.9]],-1,[5.4 3.9],[[84.18]],"[[ 61.5]
 [-85.2]]",-84
85,[[6.3 2.9]],1,[6.3 2.9],[[56.37]],"[[ 61.5]
 [-85.2]]",-84
86,[[7.2 3. ]],1,[7.2 3. ],[[103.2]],"[[ 61.5]
 [-85.2]]",-84
87,[[4.5 2.3]],-1,[4.5 2.3],[[3.21]],"[[ 61.5]
 [-85.2]]",-84
88,[[4.9 2.5]],1,[4.9 2.5],[[4.35]],"[[ 61.5]
 [-85.2]]",-84
89,[[5.6 2.8]],1,[5.6 2.8],[[21.84]],"[[ 61.5]
 [-85.2]]",-84
90,[[7.2 3.2]],1,[7.2 3.2],[[86.16]],"[[ 61.5]
 [-85.2]]",-84
91,[[6.7 3.1]],1,[6.7 3.1],[[63.93]],"[[ 61.5]
 [-85.2]]",-84
92,[[4.8 3.1]],-1,[4.8 3.1],[[52.92]],"[[ 61.5]
 [-85.2]]",-84
93,[[6.7 3.1]],1,[6.7 3.1],[[63.93]],"[[ 61.5]
 [-85.2]]",-84
94,[[5.1 3.8]],-1,[5.1 3.8],[[94.11]],"[[ 61.5]
 [-85.2]]",-84
95,[[5.2 3.5]],-1,[5.2 3.5],[[62.4]],"[[ 61.5]
 [-85.2]]",-84
96,[[5.5 2.4]],1,[5.5 2.4],[[49.77]],"[[ 61.5]
 [-85.2]]",-84
97,[[5.7 2.5]],1,[5.7 2.5],[[53.55]],"[[ 61.5]
 [-85.2]]",-84
98,[[5.  3.4]],-1,[5.  3.4],[[66.18]],"[[ 61.5]
 [-85.2]]",-84
99,[[6.8 3. ]],1,[6.8 3. ],[[78.6]],"[[ 61.5]
 [-85.2]]",-84
100,[[4.4 2.9]],-1,[4.4 2.9],[[60.48]],"[[ 61.5]
 [-85.2]]",-84
101,[[6.1 2.8]],1,[6.1 2.8],[[52.59]],"[[ 61.5]
 [-85.2]]",-84
102,[[6.7 3.3]],1,[6.7 3.3],[[46.89]],"[[ 61.5]
 [-85.2]]",-84
103,[[7.7 2.6]],1,[7.7 2.6],[[168.03]],"[[ 61.5]
 [-85.2]]",-84
104,[[5.7 2.8]],1,[5.7 2.8],[[27.99]],"[[ 61.5]
 [-85.2]]",-84
