,x,y,X,judge_value,w,b
0,[[6.2 2.8]],1,[6.2 2.8],[[42.78]],"[[ 49.9]
 [-79.5]]",-44
1,[[5.9 3. ]],1,[5.9 3. ],[[11.91]],"[[ 49.9]
 [-79.5]]",-44
2,[[6.7 3.3]],1,[6.7 3.3],[[27.98]],"[[ 49.9]
 [-79.5]]",-44
3,[[7.7 3.8]],1,[7.7 3.8],[[38.13]],"[[ 49.9]
 [-79.5]]",-44
4,[[5.4 3.4]],-1,[5.4 3.4],[[44.84]],"[[ 49.9]
 [-79.5]]",-44
5,[[6.3 2.5]],1,[6.3 2.5],[[71.62]],"[[ 49.9]
 [-79.5]]",-44
6,[[5.  3.2]],-1,[5.  3.2],[[48.9]],"[[ 49.9]
 [-79.5]]",-44
7,[[4.6 3.4]],-1,[4.6 3.4],[[84.76]],"[[ 49.9]
 [-79.5]]",-44
8,[[5.7 4.4]],-1,[5.7 4.4],[[109.37]],"[[ 49.9]
 [-79.5]]",-44
9,[[5.2 3.4]],-1,[5.2 3.4],[[54.82]],"[[ 49.9]
 [-79.5]]",-44
10,[[6.2 2.9]],1,[6.2 2.9],[[34.83]],"[[ 49.9]
 [-79.5]]",-44
11,[[6.3 3.3]],1,[6.3 3.3],[[8.02]],"[[ 49.9]
 [-79.5]]",-44
12,[[5.5 2.4]],1,[5.5 2.4],[[39.65]],"[[ 49.9]
 [-79.5]]",-44
13,[[5.1 2.5]],1,[5.1 2.5],[[11.74]],"[[ 49.9]
 [-79.5]]",-44
14,[[5.9 3. ]],1,[5.9 3. ],[[11.91]],"[[ 49.9]
 [-79.5]]",-44
15,[[5. 2.]],1,[5. 2.],[[46.5]],"[[ 49.9]
 [-79.5]]",-44
16,[[6.5 3. ]],1,[6.5 3. ],[[41.85]],"[[ 49.9]
 [-79.5]]",-44
17,[[6.5 3. ]],1,[6.5 3. ],[[41.85]],"[[ 49.9]
 [-79.5]]",-44
18,[[6.9 3.1]],1,[6.9 3.1],[[53.86]],"[[ 49.9]
 [-79.5]]",-44
19,[[4.6 3.6]],-1,[4.6 3.6],[[100.66]],"[[ 49.9]
 [-79.5]]",-44
20,[[6.6 3. ]],1,[6.6 3. ],[[46.84]],"[[ 49.9]
 [-79.5]]",-44
21,[[4.9 3.1]],-1,[4.9 3.1],[[45.94]],"[[ 49.9]
 [-79.5]]",-44
22,[[6.7 3. ]],1,[6.7 3. ],[[51.83]],"[[ 49.9]
 [-79.5]]",-44
23,[[6.7 3. ]],1,[6.7 3. ],[[51.83]],"[[ 49.9]
 [-79.5]]",-44
24,[[5.6 2.9]],1,[5.6 2.9],[[4.89]],"[[ 49.9]
 [-79.5]]",-44
25,[[6.3 3.4]],1,[6.3 3.4],[[0.07]],"[[ 49.9]
 [-79.5]]",-44
26,[[5.6 2.7]],1,[5.6 2.7],[[20.79]],"[[ 49.9]
 [-79.5]]",-44
27,[[6.1 3. ]],1,[6.1 3. ],[[21.89]],"[[ 49.9]
 [-79.5]]",-44
28,[[6.3 2.3]],1,[6.3 2.3],[[87.52]],"[[ 49.9]
 [-79.5]]",-44
29,[[5.8 2.6]],1,[5.8 2.6],[[38.72]],"[[ 49.9]
 [-79.5]]",-44
30,[[5.7 3. ]],1,[5.7 3. ],[[1.93]],"[[ 49.9]
 [-79.5]]",-44
31,[[6.9 3.1]],1,[6.9 3.1],[[53.86]],"[[ 49.9]
 [-79.5]]",-44
32,[[6.8 2.8]],1,[6.8 2.8],[[72.72]],"[[ 49.9]
 [-79.5]]",-44
33,[[5.2 4.1]],-1,[5.2 4.1],[[110.47]],"[[ 49.9]
 [-79.5]]",-44
34,[[5.8 2.7]],1,[5.8 2.7],[[30.77]],"[[ 49.9]
 [-79.5]]",-44
35,[[4.3 3. ]],-1,[4.3 3. ],[[67.93]],"[[ 49.9]
 [-79.5]]",-44
36,[[4.8 3.4]],-1,[4.8 3.4],[[74.78]],"[[ 49.9]
 [-79.5]]",-44
37,[[5.2 2.7]],1,[5.2 2.7],[[0.83]],"[[ 49.9]
 [-79.5]]",-44
38,[[4.8 3. ]],-1,[4.8 3. ],[[42.98]],"[[ 49.9]
 [-79.5]]",-44
39,[[4.9 3.1]],-1,[4.9 3.1],[[45.94]],"[[ 49.9]
 [-79.5]]",-44
40,[[7.9 3.8]],1,[7.9 3.8],[[48.11]],"[[ 49.9]
 [-79.5]]",-44
41,[[5.  2.3]],1,[5.  2.3],[[22.65]],"[[ 49.9]
 [-79.5]]",-44
42,[[4.6 3.2]],-1,[4.6 3.2],[[68.86]],"[[ 49.9]
 [-79.5]]",-44
43,[[6.5 3. ]],1,[6.5 3. ],[[41.85]],"[[ 49.9]
 [-79.5]]",-44
44,[[4.9 3.1]],-1,[4.9 3.1],[[45.94]],"[[ 49.9]
 [-79.5]]",-44
45,[[6.  2.2]],1,[6.  2.2],[[80.5]],"[[ 49.9]
 [-79.5]]",-44
46,[[5.5 2.6]],1,[5.5 2.6],[[23.75]],"[[ 49.9]
 [-79.5]]",-44
47,[[5.8 4. ]],-1,[5.8 4. ],[[72.58]],"[[ 49.9]
 [-79.5]]",-44
48,[[5.4 3.9]],-1,[5.4 3.9],[[84.59]],"[[ 49.9]
 [-79.5]]",-44
49,[[6.4 2.7]],1,[6.4 2.7],[[60.71]],"[[ 49.9]
 [-79.5]]",-44
50,[[6.  3.4]],1,[6.  3.4],[[-14.9]],"[[ 55.9]
 [-76.1]]",-43
51,[[5.5 2.5]],1,[5.5 2.5],[[74.2]],"[[ 55.9]
 [-76.1]]",-43
52,[[5.5 4.2]],-1,[5.5 4.2],[[55.17]],"[[ 55.9]
 [-76.1]]",-43
53,[[4.7 3.2]],-1,[4.7 3.2],[[23.79]],"[[ 55.9]
 [-76.1]]",-43
54,[[6.9 3.2]],1,[6.9 3.2],[[99.19]],"[[ 55.9]
 [-76.1]]",-43
55,[[6.  2.9]],1,[6.  2.9],[[71.71]],"[[ 55.9]
 [-76.1]]",-43
56,[[6.1 3. ]],1,[6.1 3. ],[[69.69]],"[[ 55.9]
 [-76.1]]",-43
57,[[4.6 3.1]],-1,[4.6 3.1],[[21.77]],"[[ 55.9]
 [-76.1]]",-43
58,[[5.7 2.8]],1,[5.7 2.8],[[62.55]],"[[ 55.9]
 [-76.1]]",-43
59,[[6. 3.]],1,[6. 3.],[[64.1]],"[[ 55.9]
 [-76.1]]",-43
60,[[5.8 2.7]],1,[5.8 2.7],[[75.75]],"[[ 55.9]
 [-76.1]]",-43
61,[[4.8 3.4]],-1,[4.8 3.4],[[33.42]],"[[ 55.9]
 [-76.1]]",-43
62,[[6.  2.2]],1,[6.  2.2],[[124.98]],"[[ 55.9]
 [-76.1]]",-43
63,[[6.4 3.1]],1,[6.4 3.1],[[78.85]],"[[ 55.9]
 [-76.1]]",-43
64,[[6.7 2.5]],1,[6.7 2.5],[[141.28]],"[[ 55.9]
 [-76.1]]",-43
65,[[6.3 3.3]],1,[6.3 3.3],[[58.04]],"[[ 55.9]
 [-76.1]]",-43
66,[[6.8 3.2]],1,[6.8 3.2],[[93.6]],"[[ 55.9]
 [-76.1]]",-43
67,[[5.7 3.8]],-1,[5.7 3.8],[[13.55]],"[[ 55.9]
 [-76.1]]",-43
68,[[5.1 3.8]],-1,[5.1 3.8],[[47.09]],"[[ 55.9]
 [-76.1]]",-43
69,[[6.  2.7]],1,[6.  2.7],[[86.93]],"[[ 55.9]
 [-76.1]]",-43
70,[[7.7 2.8]],1,[7.7 2.8],[[174.35]],"[[ 55.9]
 [-76.1]]",-43
