,x,y,X,judge_value,w,b
0,[[6.2 2.8]],1,[6.2 2.8],[[60.32]],"[[ 37.4]
 [-55.2]]",-17
1,[[5.9 3. ]],1,[5.9 3. ],[[38.06]],"[[ 37.4]
 [-55.2]]",-17
2,[[6.7 3.3]],1,[6.7 3.3],[[51.42]],"[[ 37.4]
 [-55.2]]",-17
3,[[7.7 3.8]],1,[7.7 3.8],[[61.22]],"[[ 37.4]
 [-55.2]]",-17
4,[[5.4 3.4]],-1,[5.4 3.4],[[2.72]],"[[ 37.4]
 [-55.2]]",-17
5,[[6.3 2.5]],1,[6.3 2.5],[[80.62]],"[[ 37.4]
 [-55.2]]",-17
6,[[5.  3.2]],-1,[5.  3.2],[[6.64]],"[[ 37.4]
 [-55.2]]",-17
7,[[4.6 3.4]],-1,[4.6 3.4],[[32.64]],"[[ 37.4]
 [-55.2]]",-17
8,[[5.7 4.4]],-1,[5.7 4.4],[[46.7]],"[[ 37.4]
 [-55.2]]",-17
9,[[5.2 3.4]],-1,[5.2 3.4],[[10.2]],"[[ 37.4]
 [-55.2]]",-17
10,[[6.2 2.9]],1,[6.2 2.9],[[54.8]],"[[ 37.4]
 [-55.2]]",-17
11,[[6.3 3.3]],1,[6.3 3.3],[[36.46]],"[[ 37.4]
 [-55.2]]",-17
12,[[5.5 2.4]],1,[5.5 2.4],[[56.22]],"[[ 37.4]
 [-55.2]]",-17
13,[[5.1 2.5]],1,[5.1 2.5],[[35.74]],"[[ 37.4]
 [-55.2]]",-17
14,[[5.9 3. ]],1,[5.9 3. ],[[38.06]],"[[ 37.4]
 [-55.2]]",-17
15,[[5. 2.]],1,[5. 2.],[[59.6]],"[[ 37.4]
 [-55.2]]",-17
16,[[6.5 3. ]],1,[6.5 3. ],[[60.5]],"[[ 37.4]
 [-55.2]]",-17
17,[[6.5 3. ]],1,[6.5 3. ],[[60.5]],"[[ 37.4]
 [-55.2]]",-17
18,[[6.9 3.1]],1,[6.9 3.1],[[69.94]],"[[ 37.4]
 [-55.2]]",-17
19,[[4.6 3.6]],-1,[4.6 3.6],[[43.68]],"[[ 37.4]
 [-55.2]]",-17
20,[[6.6 3. ]],1,[6.6 3. ],[[64.24]],"[[ 37.4]
 [-55.2]]",-17
21,[[4.9 3.1]],-1,[4.9 3.1],[[4.86]],"[[ 37.4]
 [-55.2]]",-17
22,[[6.7 3. ]],1,[6.7 3. ],[[67.98]],"[[ 37.4]
 [-55.2]]",-17
23,[[6.7 3. ]],1,[6.7 3. ],[[67.98]],"[[ 37.4]
 [-55.2]]",-17
24,[[5.6 2.9]],1,[5.6 2.9],[[32.36]],"[[ 37.4]
 [-55.2]]",-17
25,[[6.3 3.4]],1,[6.3 3.4],[[30.94]],"[[ 37.4]
 [-55.2]]",-17
26,[[5.6 2.7]],1,[5.6 2.7],[[43.4]],"[[ 37.4]
 [-55.2]]",-17
27,[[6.1 3. ]],1,[6.1 3. ],[[45.54]],"[[ 37.4]
 [-55.2]]",-17
28,[[6.3 2.3]],1,[6.3 2.3],[[91.66]],"[[ 37.4]
 [-55.2]]",-17
29,[[5.8 2.6]],1,[5.8 2.6],[[56.4]],"[[ 37.4]
 [-55.2]]",-17
30,[[5.7 3. ]],1,[5.7 3. ],[[30.58]],"[[ 37.4]
 [-55.2]]",-17
31,[[6.9 3.1]],1,[6.9 3.1],[[69.94]],"[[ 37.4]
 [-55.2]]",-17
32,[[6.8 2.8]],1,[6.8 2.8],[[82.76]],"[[ 37.4]
 [-55.2]]",-17
33,[[5.2 4.1]],-1,[5.2 4.1],[[48.84]],"[[ 37.4]
 [-55.2]]",-17
34,[[5.8 2.7]],1,[5.8 2.7],[[50.88]],"[[ 37.4]
 [-55.2]]",-17
35,[[4.3 3. ]],-1,[4.3 3. ],[[21.78]],"[[ 37.4]
 [-55.2]]",-17
36,[[4.8 3.4]],-1,[4.8 3.4],[[25.16]],"[[ 37.4]
 [-55.2]]",-17
37,[[5.2 2.7]],1,[5.2 2.7],[[28.44]],"[[ 37.4]
 [-55.2]]",-17
38,[[4.8 3. ]],-1,[4.8 3. ],[[3.08]],"[[ 37.4]
 [-55.2]]",-17
39,[[4.9 3.1]],-1,[4.9 3.1],[[4.86]],"[[ 37.4]
 [-55.2]]",-17
40,[[7.9 3.8]],1,[7.9 3.8],[[68.7]],"[[ 37.4]
 [-55.2]]",-17
41,[[5.  2.3]],1,[5.  2.3],[[43.04]],"[[ 37.4]
 [-55.2]]",-17
42,[[4.6 3.2]],-1,[4.6 3.2],[[21.6]],"[[ 37.4]
 [-55.2]]",-17
43,[[6.5 3. ]],1,[6.5 3. ],[[60.5]],"[[ 37.4]
 [-55.2]]",-17
44,[[4.9 3.1]],-1,[4.9 3.1],[[4.86]],"[[ 37.4]
 [-55.2]]",-17
45,[[6.  2.2]],1,[6.  2.2],[[85.96]],"[[ 37.4]
 [-55.2]]",-17
46,[[5.5 2.6]],1,[5.5 2.6],[[45.18]],"[[ 37.4]
 [-55.2]]",-17
47,[[5.8 4. ]],-1,[5.8 4. ],[[20.88]],"[[ 37.4]
 [-55.2]]",-17
48,[[5.4 3.9]],-1,[5.4 3.9],[[30.32]],"[[ 37.4]
 [-55.2]]",-17
49,[[6.4 2.7]],1,[6.4 2.7],[[73.32]],"[[ 37.4]
 [-55.2]]",-17
50,[[6.  3.4]],1,[6.  3.4],[[19.72]],"[[ 37.4]
 [-55.2]]",-17
51,[[5.5 2.5]],1,[5.5 2.5],[[50.7]],"[[ 37.4]
 [-55.2]]",-17
52,[[5.5 4.2]],-1,[5.5 4.2],[[43.14]],"[[ 37.4]
 [-55.2]]",-17
53,[[4.7 3.2]],-1,[4.7 3.2],[[17.86]],"[[ 37.4]
 [-55.2]]",-17
54,[[6.9 3.2]],1,[6.9 3.2],[[64.42]],"[[ 37.4]
 [-55.2]]",-17
55,[[6.  2.9]],1,[6.  2.9],[[47.32]],"[[ 37.4]
 [-55.2]]",-17
56,[[6.1 3. ]],1,[6.1 3. ],[[45.54]],"[[ 37.4]
 [-55.2]]",-17
57,[[4.6 3.1]],-1,[4.6 3.1],[[16.08]],"[[ 37.4]
 [-55.2]]",-17
58,[[5.7 2.8]],1,[5.7 2.8],[[41.62]],"[[ 37.4]
 [-55.2]]",-17
59,[[6. 3.]],1,[6. 3.],[[41.8]],"[[ 37.4]
 [-55.2]]",-17
60,[[5.8 2.7]],1,[5.8 2.7],[[50.88]],"[[ 37.4]
 [-55.2]]",-17
61,[[4.8 3.4]],-1,[4.8 3.4],[[25.16]],"[[ 37.4]
 [-55.2]]",-17
62,[[6.  2.2]],1,[6.  2.2],[[85.96]],"[[ 37.4]
 [-55.2]]",-17
63,[[6.4 3.1]],1,[6.4 3.1],[[51.24]],"[[ 37.4]
 [-55.2]]",-17
64,[[6.7 2.5]],1,[6.7 2.5],[[95.58]],"[[ 37.4]
 [-55.2]]",-17
65,[[6.3 3.3]],1,[6.3 3.3],[[36.46]],"[[ 37.4]
 [-55.2]]",-17
66,[[6.8 3.2]],1,[6.8 3.2],[[60.68]],"[[ 37.4]
 [-55.2]]",-17
67,[[5.7 3.8]],-1,[5.7 3.8],[[13.58]],"[[ 37.4]
 [-55.2]]",-17
68,[[5.1 3.8]],-1,[5.1 3.8],[[36.02]],"[[ 37.4]
 [-55.2]]",-17
69,[[6.  2.7]],1,[6.  2.7],[[58.36]],"[[ 37.4]
 [-55.2]]",-17
70,[[7.7 2.8]],1,[7.7 2.8],[[116.42]],"[[ 37.4]
 [-55.2]]",-17
71,[[4.4 3. ]],-1,[4.4 3. ],[[18.04]],"[[ 37.4]
 [-55.2]]",-17
72,[[6.2 2.2]],1,[6.2 2.2],[[93.44]],"[[ 37.4]
 [-55.2]]",-17
73,[[4.7 3.2]],-1,[4.7 3.2],[[17.86]],"[[ 37.4]
 [-55.2]]",-17
74,[[5.4 3.4]],-1,[5.4 3.4],[[2.72]],"[[ 37.4]
 [-55.2]]",-17
75,[[6.7 3.1]],1,[6.7 3.1],[[62.46]],"[[ 37.4]
 [-55.2]]",-17
76,[[6.4 3.2]],1,[6.4 3.2],[[45.72]],"[[ 37.4]
 [-55.2]]",-17
77,[[7.6 3. ]],1,[7.6 3. ],[[101.64]],"[[ 37.4]
 [-55.2]]",-17
78,[[5.5 3.5]],-1,[5.5 3.5],[[4.5]],"[[ 37.4]
 [-55.2]]",-17
79,[[6.5 3.2]],1,[6.5 3.2],[[49.46]],"[[ 37.4]
 [-55.2]]",-17
80,[[5.  3.6]],-1,[5.  3.6],[[28.72]],"[[ 37.4]
 [-55.2]]",-17
81,[[6.9 3.1]],1,[6.9 3.1],[[69.94]],"[[ 37.4]
 [-55.2]]",-17
82,[[5.1 3.5]],-1,[5.1 3.5],[[19.46]],"[[ 37.4]
 [-55.2]]",-17
83,[[6.6 2.9]],1,[6.6 2.9],[[69.76]],"[[ 37.4]
 [-55.2]]",-17
84,[[5.4 3.9]],-1,[5.4 3.9],[[30.32]],"[[ 37.4]
 [-55.2]]",-17
85,[[6.3 2.9]],1,[6.3 2.9],[[58.54]],"[[ 37.4]
 [-55.2]]",-17
86,[[7.2 3. ]],1,[7.2 3. ],[[86.68]],"[[ 37.4]
 [-55.2]]",-17
87,[[4.5 2.3]],-1,[4.5 2.3],[[-24.34]],"[[ 32.9]
 [-57.5]]",-18
88,[[4.9 2.5]],1,[4.9 2.5],[[-0.54]],"[[ 37.8]
 [-55. ]]",-17
89,[[5.6 2.8]],1,[5.6 2.8],[[40.68]],"[[ 37.8]
 [-55. ]]",-17
90,[[7.2 3.2]],1,[7.2 3.2],[[79.16]],"[[ 37.8]
 [-55. ]]",-17
91,[[6.7 3.1]],1,[6.7 3.1],[[65.76]],"[[ 37.8]
 [-55. ]]",-17
92,[[4.8 3.1]],-1,[4.8 3.1],[[6.06]],"[[ 37.8]
 [-55. ]]",-17
93,[[6.7 3.1]],1,[6.7 3.1],[[65.76]],"[[ 37.8]
 [-55. ]]",-17
94,[[5.1 3.8]],-1,[5.1 3.8],[[33.22]],"[[ 37.8]
 [-55. ]]",-17
95,[[5.2 3.5]],-1,[5.2 3.5],[[12.94]],"[[ 37.8]
 [-55. ]]",-17
96,[[5.5 2.4]],1,[5.5 2.4],[[58.9]],"[[ 37.8]
 [-55. ]]",-17
97,[[5.7 2.5]],1,[5.7 2.5],[[60.96]],"[[ 37.8]
 [-55. ]]",-17
98,[[5.  3.4]],-1,[5.  3.4],[[15.]],"[[ 37.8]
 [-55. ]]",-17
