,x,y,X,judge_value,w,b
0,[[6.2 2.8]],1,[6.2 2.8],[[84.58]],"[[ 62.5]
 [-81.4]]",-75
1,[[5.9 3. ]],1,[5.9 3. ],[[49.55]],"[[ 62.5]
 [-81.4]]",-75
2,[[6.7 3.3]],1,[6.7 3.3],[[75.13]],"[[ 62.5]
 [-81.4]]",-75
3,[[7.7 3.8]],1,[7.7 3.8],[[96.93]],"[[ 62.5]
 [-81.4]]",-75
4,[[5.4 3.4]],-1,[5.4 3.4],[[14.26]],"[[ 62.5]
 [-81.4]]",-75
5,[[6.3 2.5]],1,[6.3 2.5],[[115.25]],"[[ 62.5]
 [-81.4]]",-75
6,[[5.  3.2]],-1,[5.  3.2],[[22.98]],"[[ 62.5]
 [-81.4]]",-75
7,[[4.6 3.4]],-1,[4.6 3.4],[[64.26]],"[[ 62.5]
 [-81.4]]",-75
8,[[5.7 4.4]],-1,[5.7 4.4],[[76.91]],"[[ 62.5]
 [-81.4]]",-75
9,[[5.2 3.4]],-1,[5.2 3.4],[[26.76]],"[[ 62.5]
 [-81.4]]",-75
10,[[6.2 2.9]],1,[6.2 2.9],[[76.44]],"[[ 62.5]
 [-81.4]]",-75
11,[[6.3 3.3]],1,[6.3 3.3],[[50.13]],"[[ 62.5]
 [-81.4]]",-75
12,[[5.5 2.4]],1,[5.5 2.4],[[73.39]],"[[ 62.5]
 [-81.4]]",-75
13,[[5.1 2.5]],1,[5.1 2.5],[[40.25]],"[[ 62.5]
 [-81.4]]",-75
14,[[5.9 3. ]],1,[5.9 3. ],[[49.55]],"[[ 62.5]
 [-81.4]]",-75
15,[[5. 2.]],1,[5. 2.],[[74.7]],"[[ 62.5]
 [-81.4]]",-75
16,[[6.5 3. ]],1,[6.5 3. ],[[87.05]],"[[ 62.5]
 [-81.4]]",-75
17,[[6.5 3. ]],1,[6.5 3. ],[[87.05]],"[[ 62.5]
 [-81.4]]",-75
18,[[6.9 3.1]],1,[6.9 3.1],[[103.91]],"[[ 62.5]
 [-81.4]]",-75
19,[[4.6 3.6]],-1,[4.6 3.6],[[80.54]],"[[ 62.5]
 [-81.4]]",-75
20,[[6.6 3. ]],1,[6.6 3. ],[[93.3]],"[[ 62.5]
 [-81.4]]",-75
21,[[4.9 3.1]],-1,[4.9 3.1],[[21.09]],"[[ 62.5]
 [-81.4]]",-75
22,[[6.7 3. ]],1,[6.7 3. ],[[99.55]],"[[ 62.5]
 [-81.4]]",-75
23,[[6.7 3. ]],1,[6.7 3. ],[[99.55]],"[[ 62.5]
 [-81.4]]",-75
24,[[5.6 2.9]],1,[5.6 2.9],[[38.94]],"[[ 62.5]
 [-81.4]]",-75
25,[[6.3 3.4]],1,[6.3 3.4],[[41.99]],"[[ 62.5]
 [-81.4]]",-75
26,[[5.6 2.7]],1,[5.6 2.7],[[55.22]],"[[ 62.5]
 [-81.4]]",-75
27,[[6.1 3. ]],1,[6.1 3. ],[[62.05]],"[[ 62.5]
 [-81.4]]",-75
28,[[6.3 2.3]],1,[6.3 2.3],[[131.53]],"[[ 62.5]
 [-81.4]]",-75
29,[[5.8 2.6]],1,[5.8 2.6],[[75.86]],"[[ 62.5]
 [-81.4]]",-75
30,[[5.7 3. ]],1,[5.7 3. ],[[37.05]],"[[ 62.5]
 [-81.4]]",-75
31,[[6.9 3.1]],1,[6.9 3.1],[[103.91]],"[[ 62.5]
 [-81.4]]",-75
32,[[6.8 2.8]],1,[6.8 2.8],[[122.08]],"[[ 62.5]
 [-81.4]]",-75
33,[[5.2 4.1]],-1,[5.2 4.1],[[83.74]],"[[ 62.5]
 [-81.4]]",-75
34,[[5.8 2.7]],1,[5.8 2.7],[[67.72]],"[[ 62.5]
 [-81.4]]",-75
35,[[4.3 3. ]],-1,[4.3 3. ],[[50.45]],"[[ 62.5]
 [-81.4]]",-75
36,[[4.8 3.4]],-1,[4.8 3.4],[[51.76]],"[[ 62.5]
 [-81.4]]",-75
37,[[5.2 2.7]],1,[5.2 2.7],[[30.22]],"[[ 62.5]
 [-81.4]]",-75
38,[[4.8 3. ]],-1,[4.8 3. ],[[19.2]],"[[ 62.5]
 [-81.4]]",-75
39,[[4.9 3.1]],-1,[4.9 3.1],[[21.09]],"[[ 62.5]
 [-81.4]]",-75
40,[[7.9 3.8]],1,[7.9 3.8],[[109.43]],"[[ 62.5]
 [-81.4]]",-75
41,[[5.  2.3]],1,[5.  2.3],[[50.28]],"[[ 62.5]
 [-81.4]]",-75
42,[[4.6 3.2]],-1,[4.6 3.2],[[47.98]],"[[ 62.5]
 [-81.4]]",-75
43,[[6.5 3. ]],1,[6.5 3. ],[[87.05]],"[[ 62.5]
 [-81.4]]",-75
44,[[4.9 3.1]],-1,[4.9 3.1],[[21.09]],"[[ 62.5]
 [-81.4]]",-75
45,[[6.  2.2]],1,[6.  2.2],[[120.92]],"[[ 62.5]
 [-81.4]]",-75
46,[[5.5 2.6]],1,[5.5 2.6],[[57.11]],"[[ 62.5]
 [-81.4]]",-75
47,[[5.8 4. ]],-1,[5.8 4. ],[[38.1]],"[[ 62.5]
 [-81.4]]",-75
48,[[5.4 3.9]],-1,[5.4 3.9],[[54.96]],"[[ 62.5]
 [-81.4]]",-75
49,[[6.4 2.7]],1,[6.4 2.7],[[105.22]],"[[ 62.5]
 [-81.4]]",-75
50,[[6.  3.4]],1,[6.  3.4],[[23.24]],"[[ 62.5]
 [-81.4]]",-75
51,[[5.5 2.5]],1,[5.5 2.5],[[65.25]],"[[ 62.5]
 [-81.4]]",-75
52,[[5.5 4.2]],-1,[5.5 4.2],[[73.13]],"[[ 62.5]
 [-81.4]]",-75
53,[[4.7 3.2]],-1,[4.7 3.2],[[41.73]],"[[ 62.5]
 [-81.4]]",-75
54,[[6.9 3.2]],1,[6.9 3.2],[[95.77]],"[[ 62.5]
 [-81.4]]",-75
55,[[6.  2.9]],1,[6.  2.9],[[63.94]],"[[ 62.5]
 [-81.4]]",-75
