,x,y,X,judge_value,w,b
0,[[6.2 2.8]],1,[6.2 2.8],[[43.08]],"[[ 29.2]
 [-45.7]]",-10
1,[[5.9 3. ]],1,[5.9 3. ],[[25.18]],"[[ 29.2]
 [-45.7]]",-10
2,[[6.7 3.3]],1,[6.7 3.3],[[34.83]],"[[ 29.2]
 [-45.7]]",-10
3,[[7.7 3.8]],1,[7.7 3.8],[[41.18]],"[[ 29.2]
 [-45.7]]",-10
4,[[5.4 3.4]],-1,[5.4 3.4],[[7.7]],"[[ 29.2]
 [-45.7]]",-10
5,[[6.3 2.5]],1,[6.3 2.5],[[59.71]],"[[ 29.2]
 [-45.7]]",-10
6,[[5.  3.2]],-1,[5.  3.2],[[10.24]],"[[ 29.2]
 [-45.7]]",-10
7,[[4.6 3.4]],-1,[4.6 3.4],[[31.06]],"[[ 29.2]
 [-45.7]]",-10
8,[[5.7 4.4]],-1,[5.7 4.4],[[44.64]],"[[ 29.2]
 [-45.7]]",-10
9,[[5.2 3.4]],-1,[5.2 3.4],[[13.54]],"[[ 29.2]
 [-45.7]]",-10
10,[[6.2 2.9]],1,[6.2 2.9],[[38.51]],"[[ 29.2]
 [-45.7]]",-10
11,[[6.3 3.3]],1,[6.3 3.3],[[23.15]],"[[ 29.2]
 [-45.7]]",-10
12,[[5.5 2.4]],1,[5.5 2.4],[[40.92]],"[[ 29.2]
 [-45.7]]",-10
13,[[5.1 2.5]],1,[5.1 2.5],[[24.67]],"[[ 29.2]
 [-45.7]]",-10
14,[[5.9 3. ]],1,[5.9 3. ],[[25.18]],"[[ 29.2]
 [-45.7]]",-10
15,[[5. 2.]],1,[5. 2.],[[44.6]],"[[ 29.2]
 [-45.7]]",-10
16,[[6.5 3. ]],1,[6.5 3. ],[[42.7]],"[[ 29.2]
 [-45.7]]",-10
17,[[6.5 3. ]],1,[6.5 3. ],[[42.7]],"[[ 29.2]
 [-45.7]]",-10
18,[[6.9 3.1]],1,[6.9 3.1],[[49.81]],"[[ 29.2]
 [-45.7]]",-10
19,[[4.6 3.6]],-1,[4.6 3.6],[[40.2]],"[[ 29.2]
 [-45.7]]",-10
20,[[6.6 3. ]],1,[6.6 3. ],[[45.62]],"[[ 29.2]
 [-45.7]]",-10
21,[[4.9 3.1]],-1,[4.9 3.1],[[8.59]],"[[ 29.2]
 [-45.7]]",-10
22,[[6.7 3. ]],1,[6.7 3. ],[[48.54]],"[[ 29.2]
 [-45.7]]",-10
