,x,y,X,judge_value,w,b
0,[[6.2 2.8]],1,[6.2 2.8],[[50.68]],"[[ 37. ]
 [-57.4]]",-18
1,[[5.9 3. ]],1,[5.9 3. ],[[28.1]],"[[ 37. ]
 [-57.4]]",-18
2,[[6.7 3.3]],1,[6.7 3.3],[[40.48]],"[[ 37. ]
 [-57.4]]",-18
3,[[7.7 3.8]],1,[7.7 3.8],[[48.78]],"[[ 37. ]
 [-57.4]]",-18
4,[[5.4 3.4]],-1,[5.4 3.4],[[13.36]],"[[ 37. ]
 [-57.4]]",-18
5,[[6.3 2.5]],1,[6.3 2.5],[[71.6]],"[[ 37. ]
 [-57.4]]",-18
6,[[5.  3.2]],-1,[5.  3.2],[[16.68]],"[[ 37. ]
 [-57.4]]",-18
7,[[4.6 3.4]],-1,[4.6 3.4],[[42.96]],"[[ 37. ]
 [-57.4]]",-18
8,[[5.7 4.4]],-1,[5.7 4.4],[[59.66]],"[[ 37. ]
 [-57.4]]",-18
9,[[5.2 3.4]],-1,[5.2 3.4],[[20.76]],"[[ 37. ]
 [-57.4]]",-18
10,[[6.2 2.9]],1,[6.2 2.9],[[44.94]],"[[ 37. ]
 [-57.4]]",-18
11,[[6.3 3.3]],1,[6.3 3.3],[[25.68]],"[[ 37. ]
 [-57.4]]",-18
12,[[5.5 2.4]],1,[5.5 2.4],[[47.74]],"[[ 37. ]
 [-57.4]]",-18
13,[[5.1 2.5]],1,[5.1 2.5],[[27.2]],"[[ 37. ]
 [-57.4]]",-18
14,[[5.9 3. ]],1,[5.9 3. ],[[28.1]],"[[ 37. ]
 [-57.4]]",-18
15,[[5. 2.]],1,[5. 2.],[[52.2]],"[[ 37. ]
 [-57.4]]",-18
16,[[6.5 3. ]],1,[6.5 3. ],[[50.3]],"[[ 37. ]
 [-57.4]]",-18
17,[[6.5 3. ]],1,[6.5 3. ],[[50.3]],"[[ 37. ]
 [-57.4]]",-18
18,[[6.9 3.1]],1,[6.9 3.1],[[59.36]],"[[ 37. ]
 [-57.4]]",-18
19,[[4.6 3.6]],-1,[4.6 3.6],[[54.44]],"[[ 37. ]
 [-57.4]]",-18
20,[[6.6 3. ]],1,[6.6 3. ],[[54.]],"[[ 37. ]
 [-57.4]]",-18
21,[[4.9 3.1]],-1,[4.9 3.1],[[14.64]],"[[ 37. ]
 [-57.4]]",-18
22,[[6.7 3. ]],1,[6.7 3. ],[[57.7]],"[[ 37. ]
 [-57.4]]",-18
23,[[6.7 3. ]],1,[6.7 3. ],[[57.7]],"[[ 37. ]
 [-57.4]]",-18
24,[[5.6 2.9]],1,[5.6 2.9],[[22.74]],"[[ 37. ]
 [-57.4]]",-18
25,[[6.3 3.4]],1,[6.3 3.4],[[19.94]],"[[ 37. ]
 [-57.4]]",-18
26,[[5.6 2.7]],1,[5.6 2.7],[[34.22]],"[[ 37. ]
 [-57.4]]",-18
27,[[6.1 3. ]],1,[6.1 3. ],[[35.5]],"[[ 37. ]
 [-57.4]]",-18
28,[[6.3 2.3]],1,[6.3 2.3],[[83.08]],"[[ 37. ]
 [-57.4]]",-18
29,[[5.8 2.6]],1,[5.8 2.6],[[47.36]],"[[ 37. ]
 [-57.4]]",-18
30,[[5.7 3. ]],1,[5.7 3. ],[[20.7]],"[[ 37. ]
 [-57.4]]",-18
31,[[6.9 3.1]],1,[6.9 3.1],[[59.36]],"[[ 37. ]
 [-57.4]]",-18
32,[[6.8 2.8]],1,[6.8 2.8],[[72.88]],"[[ 37. ]
 [-57.4]]",-18
33,[[5.2 4.1]],-1,[5.2 4.1],[[60.94]],"[[ 37. ]
 [-57.4]]",-18
34,[[5.8 2.7]],1,[5.8 2.7],[[41.62]],"[[ 37. ]
 [-57.4]]",-18
35,[[4.3 3. ]],-1,[4.3 3. ],[[31.1]],"[[ 37. ]
 [-57.4]]",-18
36,[[4.8 3.4]],-1,[4.8 3.4],[[35.56]],"[[ 37. ]
 [-57.4]]",-18
37,[[5.2 2.7]],1,[5.2 2.7],[[19.42]],"[[ 37. ]
 [-57.4]]",-18
38,[[4.8 3. ]],-1,[4.8 3. ],[[12.6]],"[[ 37. ]
 [-57.4]]",-18
39,[[4.9 3.1]],-1,[4.9 3.1],[[14.64]],"[[ 37. ]
 [-57.4]]",-18
40,[[7.9 3.8]],1,[7.9 3.8],[[56.18]],"[[ 37. ]
 [-57.4]]",-18
41,[[5.  2.3]],1,[5.  2.3],[[34.98]],"[[ 37. ]
 [-57.4]]",-18
42,[[4.6 3.2]],-1,[4.6 3.2],[[31.48]],"[[ 37. ]
 [-57.4]]",-18
43,[[6.5 3. ]],1,[6.5 3. ],[[50.3]],"[[ 37. ]
 [-57.4]]",-18
44,[[4.9 3.1]],-1,[4.9 3.1],[[14.64]],"[[ 37. ]
 [-57.4]]",-18
45,[[6.  2.2]],1,[6.  2.2],[[77.72]],"[[ 37. ]
 [-57.4]]",-18
46,[[5.5 2.6]],1,[5.5 2.6],[[36.26]],"[[ 37. ]
 [-57.4]]",-18
47,[[5.8 4. ]],-1,[5.8 4. ],[[33.]],"[[ 37. ]
 [-57.4]]",-18
48,[[5.4 3.9]],-1,[5.4 3.9],[[42.06]],"[[ 37. ]
 [-57.4]]",-18
49,[[6.4 2.7]],1,[6.4 2.7],[[63.82]],"[[ 37. ]
 [-57.4]]",-18
50,[[6.  3.4]],1,[6.  3.4],[[8.84]],"[[ 37. ]
 [-57.4]]",-18
51,[[5.5 2.5]],1,[5.5 2.5],[[42.]],"[[ 37. ]
 [-57.4]]",-18
52,[[5.5 4.2]],-1,[5.5 4.2],[[55.58]],"[[ 37. ]
 [-57.4]]",-18
53,[[4.7 3.2]],-1,[4.7 3.2],[[27.78]],"[[ 37. ]
 [-57.4]]",-18
54,[[6.9 3.2]],1,[6.9 3.2],[[53.62]],"[[ 37. ]
 [-57.4]]",-18
55,[[6.  2.9]],1,[6.  2.9],[[37.54]],"[[ 37. ]
 [-57.4]]",-18
56,[[6.1 3. ]],1,[6.1 3. ],[[35.5]],"[[ 37. ]
 [-57.4]]",-18
57,[[4.6 3.1]],-1,[4.6 3.1],[[25.74]],"[[ 37. ]
 [-57.4]]",-18
58,[[5.7 2.8]],1,[5.7 2.8],[[32.18]],"[[ 37. ]
 [-57.4]]",-18
59,[[6. 3.]],1,[6. 3.],[[31.8]],"[[ 37. ]
 [-57.4]]",-18
60,[[5.8 2.7]],1,[5.8 2.7],[[41.62]],"[[ 37. ]
 [-57.4]]",-18
61,[[4.8 3.4]],-1,[4.8 3.4],[[35.56]],"[[ 37. ]
 [-57.4]]",-18
62,[[6.  2.2]],1,[6.  2.2],[[77.72]],"[[ 37. ]
 [-57.4]]",-18
63,[[6.4 3.1]],1,[6.4 3.1],[[40.86]],"[[ 37. ]
 [-57.4]]",-18
64,[[6.7 2.5]],1,[6.7 2.5],[[86.4]],"[[ 37. ]
 [-57.4]]",-18
65,[[6.3 3.3]],1,[6.3 3.3],[[25.68]],"[[ 37. ]
 [-57.4]]",-18
66,[[6.8 3.2]],1,[6.8 3.2],[[49.92]],"[[ 37. ]
 [-57.4]]",-18
67,[[5.7 3.8]],-1,[5.7 3.8],[[25.22]],"[[ 37. ]
 [-57.4]]",-18
68,[[5.1 3.8]],-1,[5.1 3.8],[[47.42]],"[[ 37. ]
 [-57.4]]",-18
69,[[6.  2.7]],1,[6.  2.7],[[49.02]],"[[ 37. ]
 [-57.4]]",-18
70,[[7.7 2.8]],1,[7.7 2.8],[[106.18]],"[[ 37. ]
 [-57.4]]",-18
71,[[4.4 3. ]],-1,[4.4 3. ],[[27.4]],"[[ 37. ]
 [-57.4]]",-18
72,[[6.2 2.2]],1,[6.2 2.2],[[85.12]],"[[ 37. ]
 [-57.4]]",-18
