,x,y,X,judge_value,w,b
0,[[6.2 2.8]],1,[6.2 2.8],[[56.58]],"[[ 43.7]
 [-66.2]]",-29
1,[[5.9 3. ]],1,[5.9 3. ],[[30.23]],"[[ 43.7]
 [-66.2]]",-29
2,[[6.7 3.3]],1,[6.7 3.3],[[45.33]],"[[ 43.7]
 [-66.2]]",-29
3,[[7.7 3.8]],1,[7.7 3.8],[[55.93]],"[[ 43.7]
 [-66.2]]",-29
4,[[5.4 3.4]],-1,[5.4 3.4],[[18.1]],"[[ 43.7]
 [-66.2]]",-29
5,[[6.3 2.5]],1,[6.3 2.5],[[80.81]],"[[ 43.7]
 [-66.2]]",-29
6,[[5.  3.2]],-1,[5.  3.2],[[22.34]],"[[ 43.7]
 [-66.2]]",-29
7,[[4.6 3.4]],-1,[4.6 3.4],[[53.06]],"[[ 43.7]
 [-66.2]]",-29
8,[[5.7 4.4]],-1,[5.7 4.4],[[71.19]],"[[ 43.7]
 [-66.2]]",-29
9,[[5.2 3.4]],-1,[5.2 3.4],[[26.84]],"[[ 43.7]
 [-66.2]]",-29
10,[[6.2 2.9]],1,[6.2 2.9],[[49.96]],"[[ 43.7]
 [-66.2]]",-29
11,[[6.3 3.3]],1,[6.3 3.3],[[27.85]],"[[ 43.7]
 [-66.2]]",-29
12,[[5.5 2.4]],1,[5.5 2.4],[[52.47]],"[[ 43.7]
 [-66.2]]",-29
13,[[5.1 2.5]],1,[5.1 2.5],[[28.37]],"[[ 43.7]
 [-66.2]]",-29
14,[[5.9 3. ]],1,[5.9 3. ],[[30.23]],"[[ 43.7]
 [-66.2]]",-29
15,[[5. 2.]],1,[5. 2.],[[57.1]],"[[ 43.7]
 [-66.2]]",-29
16,[[6.5 3. ]],1,[6.5 3. ],[[56.45]],"[[ 43.7]
 [-66.2]]",-29
17,[[6.5 3. ]],1,[6.5 3. ],[[56.45]],"[[ 43.7]
 [-66.2]]",-29
18,[[6.9 3.1]],1,[6.9 3.1],[[67.31]],"[[ 43.7]
 [-66.2]]",-29
19,[[4.6 3.6]],-1,[4.6 3.6],[[66.3]],"[[ 43.7]
 [-66.2]]",-29
20,[[6.6 3. ]],1,[6.6 3. ],[[60.82]],"[[ 43.7]
 [-66.2]]",-29
21,[[4.9 3.1]],-1,[4.9 3.1],[[20.09]],"[[ 43.7]
 [-66.2]]",-29
22,[[6.7 3. ]],1,[6.7 3. ],[[65.19]],"[[ 43.7]
 [-66.2]]",-29
