,x,y,X,judge_value,w,b
0,[[6.2 2.8]],1,[6.2 2.8],[[64.94]],"[[ 60.7]
 [-83. ]]",-79
1,[[5.9 3. ]],1,[5.9 3. ],[[30.13]],"[[ 60.7]
 [-83. ]]",-79
2,[[6.7 3.3]],1,[6.7 3.3],[[53.79]],"[[ 60.7]
 [-83. ]]",-79
3,[[7.7 3.8]],1,[7.7 3.8],[[72.99]],"[[ 60.7]
 [-83. ]]",-79
4,[[5.4 3.4]],-1,[5.4 3.4],[[33.42]],"[[ 60.7]
 [-83. ]]",-79
5,[[6.3 2.5]],1,[6.3 2.5],[[95.91]],"[[ 60.7]
 [-83. ]]",-79
6,[[5.  3.2]],-1,[5.  3.2],[[41.1]],"[[ 60.7]
 [-83. ]]",-79
7,[[4.6 3.4]],-1,[4.6 3.4],[[81.98]],"[[ 60.7]
 [-83. ]]",-79
8,[[5.7 4.4]],-1,[5.7 4.4],[[98.21]],"[[ 60.7]
 [-83. ]]",-79
9,[[5.2 3.4]],-1,[5.2 3.4],[[45.56]],"[[ 60.7]
 [-83. ]]",-79
10,[[6.2 2.9]],1,[6.2 2.9],[[56.64]],"[[ 60.7]
 [-83. ]]",-79
11,[[6.3 3.3]],1,[6.3 3.3],[[29.51]],"[[ 60.7]
 [-83. ]]",-79
12,[[5.5 2.4]],1,[5.5 2.4],[[55.65]],"[[ 60.7]
 [-83. ]]",-79
13,[[5.1 2.5]],1,[5.1 2.5],[[23.07]],"[[ 60.7]
 [-83. ]]",-79
14,[[5.9 3. ]],1,[5.9 3. ],[[30.13]],"[[ 60.7]
 [-83. ]]",-79
15,[[5. 2.]],1,[5. 2.],[[58.5]],"[[ 60.7]
 [-83. ]]",-79
16,[[6.5 3. ]],1,[6.5 3. ],[[66.55]],"[[ 60.7]
 [-83. ]]",-79
17,[[6.5 3. ]],1,[6.5 3. ],[[66.55]],"[[ 60.7]
 [-83. ]]",-79
18,[[6.9 3.1]],1,[6.9 3.1],[[82.53]],"[[ 60.7]
 [-83. ]]",-79
19,[[4.6 3.6]],-1,[4.6 3.6],[[98.58]],"[[ 60.7]
 [-83. ]]",-79
20,[[6.6 3. ]],1,[6.6 3. ],[[72.62]],"[[ 60.7]
 [-83. ]]",-79
21,[[4.9 3.1]],-1,[4.9 3.1],[[38.87]],"[[ 60.7]
 [-83. ]]",-79
22,[[6.7 3. ]],1,[6.7 3. ],[[78.69]],"[[ 60.7]
 [-83. ]]",-79
23,[[6.7 3. ]],1,[6.7 3. ],[[78.69]],"[[ 60.7]
 [-83. ]]",-79
