,x,y,X,judge_value,w,b
0,[[6.2 2.8]],1,[6.2 2.8],[[83.48]],"[[ 61.2]
 [-80.7]]",-70
1,[[5.9 3. ]],1,[5.9 3. ],[[48.98]],"[[ 61.2]
 [-80.7]]",-70
2,[[6.7 3.3]],1,[6.7 3.3],[[73.73]],"[[ 61.2]
 [-80.7]]",-70
3,[[7.7 3.8]],1,[7.7 3.8],[[94.58]],"[[ 61.2]
 [-80.7]]",-70
4,[[5.4 3.4]],-1,[5.4 3.4],[[13.9]],"[[ 61.2]
 [-80.7]]",-70
5,[[6.3 2.5]],1,[6.3 2.5],[[113.81]],"[[ 61.2]
 [-80.7]]",-70
6,[[5.  3.2]],-1,[5.  3.2],[[22.24]],"[[ 61.2]
 [-80.7]]",-70
7,[[4.6 3.4]],-1,[4.6 3.4],[[62.86]],"[[ 61.2]
 [-80.7]]",-70
8,[[5.7 4.4]],-1,[5.7 4.4],[[76.24]],"[[ 61.2]
 [-80.7]]",-70
9,[[5.2 3.4]],-1,[5.2 3.4],[[26.14]],"[[ 61.2]
 [-80.7]]",-70
10,[[6.2 2.9]],1,[6.2 2.9],[[75.41]],"[[ 61.2]
 [-80.7]]",-70
11,[[6.3 3.3]],1,[6.3 3.3],[[49.25]],"[[ 61.2]
 [-80.7]]",-70
12,[[5.5 2.4]],1,[5.5 2.4],[[72.92]],"[[ 61.2]
 [-80.7]]",-70
13,[[5.1 2.5]],1,[5.1 2.5],[[40.37]],"[[ 61.2]
 [-80.7]]",-70
14,[[5.9 3. ]],1,[5.9 3. ],[[48.98]],"[[ 61.2]
 [-80.7]]",-70
15,[[5. 2.]],1,[5. 2.],[[74.6]],"[[ 61.2]
 [-80.7]]",-70
16,[[6.5 3. ]],1,[6.5 3. ],[[85.7]],"[[ 61.2]
 [-80.7]]",-70
17,[[6.5 3. ]],1,[6.5 3. ],[[85.7]],"[[ 61.2]
 [-80.7]]",-70
18,[[6.9 3.1]],1,[6.9 3.1],[[102.11]],"[[ 61.2]
 [-80.7]]",-70
19,[[4.6 3.6]],-1,[4.6 3.6],[[79.]],"[[ 61.2]
 [-80.7]]",-70
20,[[6.6 3. ]],1,[6.6 3. ],[[91.82]],"[[ 61.2]
 [-80.7]]",-70
21,[[4.9 3.1]],-1,[4.9 3.1],[[20.29]],"[[ 61.2]
 [-80.7]]",-70
22,[[6.7 3. ]],1,[6.7 3. ],[[97.94]],"[[ 61.2]
 [-80.7]]",-70
23,[[6.7 3. ]],1,[6.7 3. ],[[97.94]],"[[ 61.2]
 [-80.7]]",-70
24,[[5.6 2.9]],1,[5.6 2.9],[[38.69]],"[[ 61.2]
 [-80.7]]",-70
25,[[6.3 3.4]],1,[6.3 3.4],[[41.18]],"[[ 61.2]
 [-80.7]]",-70
26,[[5.6 2.7]],1,[5.6 2.7],[[54.83]],"[[ 61.2]
 [-80.7]]",-70
27,[[6.1 3. ]],1,[6.1 3. ],[[61.22]],"[[ 61.2]
 [-80.7]]",-70
28,[[6.3 2.3]],1,[6.3 2.3],[[129.95]],"[[ 61.2]
 [-80.7]]",-70
29,[[5.8 2.6]],1,[5.8 2.6],[[75.14]],"[[ 61.2]
 [-80.7]]",-70
30,[[5.7 3. ]],1,[5.7 3. ],[[36.74]],"[[ 61.2]
 [-80.7]]",-70
31,[[6.9 3.1]],1,[6.9 3.1],[[102.11]],"[[ 61.2]
 [-80.7]]",-70
32,[[6.8 2.8]],1,[6.8 2.8],[[120.2]],"[[ 61.2]
 [-80.7]]",-70
33,[[5.2 4.1]],-1,[5.2 4.1],[[82.63]],"[[ 61.2]
 [-80.7]]",-70
34,[[5.8 2.7]],1,[5.8 2.7],[[67.07]],"[[ 61.2]
 [-80.7]]",-70
35,[[4.3 3. ]],-1,[4.3 3. ],[[48.94]],"[[ 61.2]
 [-80.7]]",-70
36,[[4.8 3.4]],-1,[4.8 3.4],[[50.62]],"[[ 61.2]
 [-80.7]]",-70
37,[[5.2 2.7]],1,[5.2 2.7],[[30.35]],"[[ 61.2]
 [-80.7]]",-70
38,[[4.8 3. ]],-1,[4.8 3. ],[[18.34]],"[[ 61.2]
 [-80.7]]",-70
39,[[4.9 3.1]],-1,[4.9 3.1],[[20.29]],"[[ 61.2]
 [-80.7]]",-70
40,[[7.9 3.8]],1,[7.9 3.8],[[106.82]],"[[ 61.2]
 [-80.7]]",-70
41,[[5.  2.3]],1,[5.  2.3],[[50.39]],"[[ 61.2]
 [-80.7]]",-70
42,[[4.6 3.2]],-1,[4.6 3.2],[[46.72]],"[[ 61.2]
 [-80.7]]",-70
43,[[6.5 3. ]],1,[6.5 3. ],[[85.7]],"[[ 61.2]
 [-80.7]]",-70
44,[[4.9 3.1]],-1,[4.9 3.1],[[20.29]],"[[ 61.2]
 [-80.7]]",-70
45,[[6.  2.2]],1,[6.  2.2],[[119.66]],"[[ 61.2]
 [-80.7]]",-70
46,[[5.5 2.6]],1,[5.5 2.6],[[56.78]],"[[ 61.2]
 [-80.7]]",-70
47,[[5.8 4. ]],-1,[5.8 4. ],[[37.84]],"[[ 61.2]
 [-80.7]]",-70
48,[[5.4 3.9]],-1,[5.4 3.9],[[54.25]],"[[ 61.2]
 [-80.7]]",-70
49,[[6.4 2.7]],1,[6.4 2.7],[[103.79]],"[[ 61.2]
 [-80.7]]",-70
50,[[6.  3.4]],1,[6.  3.4],[[22.82]],"[[ 61.2]
 [-80.7]]",-70
51,[[5.5 2.5]],1,[5.5 2.5],[[64.85]],"[[ 61.2]
 [-80.7]]",-70
52,[[5.5 4.2]],-1,[5.5 4.2],[[72.34]],"[[ 61.2]
 [-80.7]]",-70
53,[[4.7 3.2]],-1,[4.7 3.2],[[40.6]],"[[ 61.2]
 [-80.7]]",-70
54,[[6.9 3.2]],1,[6.9 3.2],[[94.04]],"[[ 61.2]
 [-80.7]]",-70
55,[[6.  2.9]],1,[6.  2.9],[[63.17]],"[[ 61.2]
 [-80.7]]",-70
56,[[6.1 3. ]],1,[6.1 3. ],[[61.22]],"[[ 61.2]
 [-80.7]]",-70
57,[[4.6 3.1]],-1,[4.6 3.1],[[38.65]],"[[ 61.2]
 [-80.7]]",-70
58,[[5.7 2.8]],1,[5.7 2.8],[[52.88]],"[[ 61.2]
 [-80.7]]",-70
59,[[6. 3.]],1,[6. 3.],[[55.1]],"[[ 61.2]
 [-80.7]]",-70
60,[[5.8 2.7]],1,[5.8 2.7],[[67.07]],"[[ 61.2]
 [-80.7]]",-70
61,[[4.8 3.4]],-1,[4.8 3.4],[[50.62]],"[[ 61.2]
 [-80.7]]",-70
62,[[6.  2.2]],1,[6.  2.2],[[119.66]],"[[ 61.2]
 [-80.7]]",-70
63,[[6.4 3.1]],1,[6.4 3.1],[[71.51]],"[[ 61.2]
 [-80.7]]",-70
64,[[6.7 2.5]],1,[6.7 2.5],[[138.29]],"[[ 61.2]
 [-80.7]]",-70
65,[[6.3 3.3]],1,[6.3 3.3],[[49.25]],"[[ 61.2]
 [-80.7]]",-70
