,x,y,X,judge_value,w,b
0,[[6.2 2.8]],1,[6.2 2.8],[[51.38]],"[[ 54.7]
 [-81.7]]",-59
1,[[5.9 3. ]],1,[5.9 3. ],[[18.63]],"[[ 54.7]
 [-81.7]]",-59
2,[[6.7 3.3]],1,[6.7 3.3],[[37.88]],"[[ 54.7]
 [-81.7]]",-59
3,[[7.7 3.8]],1,[7.7 3.8],[[51.73]],"[[ 54.7]
 [-81.7]]",-59
4,[[5.4 3.4]],-1,[5.4 3.4],[[41.4]],"[[ 54.7]
 [-81.7]]",-59
5,[[6.3 2.5]],1,[6.3 2.5],[[81.36]],"[[ 54.7]
 [-81.7]]",-59
6,[[5.  3.2]],-1,[5.  3.2],[[46.94]],"[[ 54.7]
 [-81.7]]",-59
7,[[4.6 3.4]],-1,[4.6 3.4],[[85.16]],"[[ 54.7]
 [-81.7]]",-59
8,[[5.7 4.4]],-1,[5.7 4.4],[[106.69]],"[[ 54.7]
 [-81.7]]",-59
9,[[5.2 3.4]],-1,[5.2 3.4],[[52.34]],"[[ 54.7]
 [-81.7]]",-59
10,[[6.2 2.9]],1,[6.2 2.9],[[43.21]],"[[ 54.7]
 [-81.7]]",-59
11,[[6.3 3.3]],1,[6.3 3.3],[[16.]],"[[ 54.7]
 [-81.7]]",-59
12,[[5.5 2.4]],1,[5.5 2.4],[[45.77]],"[[ 54.7]
 [-81.7]]",-59
13,[[5.1 2.5]],1,[5.1 2.5],[[15.72]],"[[ 54.7]
 [-81.7]]",-59
14,[[5.9 3. ]],1,[5.9 3. ],[[18.63]],"[[ 54.7]
 [-81.7]]",-59
15,[[5. 2.]],1,[5. 2.],[[51.1]],"[[ 54.7]
 [-81.7]]",-59
16,[[6.5 3. ]],1,[6.5 3. ],[[51.45]],"[[ 54.7]
 [-81.7]]",-59
17,[[6.5 3. ]],1,[6.5 3. ],[[51.45]],"[[ 54.7]
 [-81.7]]",-59
18,[[6.9 3.1]],1,[6.9 3.1],[[65.16]],"[[ 54.7]
 [-81.7]]",-59
19,[[4.6 3.6]],-1,[4.6 3.6],[[101.5]],"[[ 54.7]
 [-81.7]]",-59
20,[[6.6 3. ]],1,[6.6 3. ],[[56.92]],"[[ 54.7]
 [-81.7]]",-59
21,[[4.9 3.1]],-1,[4.9 3.1],[[44.24]],"[[ 54.7]
 [-81.7]]",-59
22,[[6.7 3. ]],1,[6.7 3. ],[[62.39]],"[[ 54.7]
 [-81.7]]",-59
23,[[6.7 3. ]],1,[6.7 3. ],[[62.39]],"[[ 54.7]
 [-81.7]]",-59
24,[[5.6 2.9]],1,[5.6 2.9],[[10.39]],"[[ 54.7]
 [-81.7]]",-59
25,[[6.3 3.4]],1,[6.3 3.4],[[7.83]],"[[ 54.7]
 [-81.7]]",-59
26,[[5.6 2.7]],1,[5.6 2.7],[[26.73]],"[[ 54.7]
 [-81.7]]",-59
27,[[6.1 3. ]],1,[6.1 3. ],[[29.57]],"[[ 54.7]
 [-81.7]]",-59
28,[[6.3 2.3]],1,[6.3 2.3],[[97.7]],"[[ 54.7]
 [-81.7]]",-59
29,[[5.8 2.6]],1,[5.8 2.6],[[45.84]],"[[ 54.7]
 [-81.7]]",-59
30,[[5.7 3. ]],1,[5.7 3. ],[[7.69]],"[[ 54.7]
 [-81.7]]",-59
31,[[6.9 3.1]],1,[6.9 3.1],[[65.16]],"[[ 54.7]
 [-81.7]]",-59
32,[[6.8 2.8]],1,[6.8 2.8],[[84.2]],"[[ 54.7]
 [-81.7]]",-59
33,[[5.2 4.1]],-1,[5.2 4.1],[[109.53]],"[[ 54.7]
 [-81.7]]",-59
34,[[5.8 2.7]],1,[5.8 2.7],[[37.67]],"[[ 54.7]
 [-81.7]]",-59
35,[[4.3 3. ]],-1,[4.3 3. ],[[68.89]],"[[ 54.7]
 [-81.7]]",-59
36,[[4.8 3.4]],-1,[4.8 3.4],[[74.22]],"[[ 54.7]
 [-81.7]]",-59
37,[[5.2 2.7]],1,[5.2 2.7],[[4.85]],"[[ 54.7]
 [-81.7]]",-59
38,[[4.8 3. ]],-1,[4.8 3. ],[[41.54]],"[[ 54.7]
 [-81.7]]",-59
39,[[4.9 3.1]],-1,[4.9 3.1],[[44.24]],"[[ 54.7]
 [-81.7]]",-59
40,[[7.9 3.8]],1,[7.9 3.8],[[62.67]],"[[ 54.7]
 [-81.7]]",-59
41,[[5.  2.3]],1,[5.  2.3],[[26.59]],"[[ 54.7]
 [-81.7]]",-59
42,[[4.6 3.2]],-1,[4.6 3.2],[[68.82]],"[[ 54.7]
 [-81.7]]",-59
43,[[6.5 3. ]],1,[6.5 3. ],[[51.45]],"[[ 54.7]
 [-81.7]]",-59
44,[[4.9 3.1]],-1,[4.9 3.1],[[44.24]],"[[ 54.7]
 [-81.7]]",-59
45,[[6.  2.2]],1,[6.  2.2],[[89.46]],"[[ 54.7]
 [-81.7]]",-59
46,[[5.5 2.6]],1,[5.5 2.6],[[29.43]],"[[ 54.7]
 [-81.7]]",-59
47,[[5.8 4. ]],-1,[5.8 4. ],[[68.54]],"[[ 54.7]
 [-81.7]]",-59
48,[[5.4 3.9]],-1,[5.4 3.9],[[82.25]],"[[ 54.7]
 [-81.7]]",-59
49,[[6.4 2.7]],1,[6.4 2.7],[[70.49]],"[[ 54.7]
 [-81.7]]",-59
50,[[6.  3.4]],1,[6.  3.4],[[-8.58]],"[[ 60.7]
 [-78.3]]",-58
51,[[5.5 2.5]],1,[5.5 2.5],[[80.1]],"[[ 60.7]
 [-78.3]]",-58
52,[[5.5 4.2]],-1,[5.5 4.2],[[53.01]],"[[ 60.7]
 [-78.3]]",-58
53,[[4.7 3.2]],-1,[4.7 3.2],[[23.27]],"[[ 60.7]
 [-78.3]]",-58
54,[[6.9 3.2]],1,[6.9 3.2],[[110.27]],"[[ 60.7]
 [-78.3]]",-58
55,[[6.  2.9]],1,[6.  2.9],[[79.13]],"[[ 60.7]
 [-78.3]]",-58
56,[[6.1 3. ]],1,[6.1 3. ],[[77.37]],"[[ 60.7]
 [-78.3]]",-58
57,[[4.6 3.1]],-1,[4.6 3.1],[[21.51]],"[[ 60.7]
 [-78.3]]",-58
58,[[5.7 2.8]],1,[5.7 2.8],[[68.75]],"[[ 60.7]
 [-78.3]]",-58
59,[[6. 3.]],1,[6. 3.],[[71.3]],"[[ 60.7]
 [-78.3]]",-58
60,[[5.8 2.7]],1,[5.8 2.7],[[82.65]],"[[ 60.7]
 [-78.3]]",-58
61,[[4.8 3.4]],-1,[4.8 3.4],[[32.86]],"[[ 60.7]
 [-78.3]]",-58
62,[[6.  2.2]],1,[6.  2.2],[[133.94]],"[[ 60.7]
 [-78.3]]",-58
63,[[6.4 3.1]],1,[6.4 3.1],[[87.75]],"[[ 60.7]
 [-78.3]]",-58
64,[[6.7 2.5]],1,[6.7 2.5],[[152.94]],"[[ 60.7]
 [-78.3]]",-58
65,[[6.3 3.3]],1,[6.3 3.3],[[66.02]],"[[ 60.7]
 [-78.3]]",-58
66,[[6.8 3.2]],1,[6.8 3.2],[[104.2]],"[[ 60.7]
 [-78.3]]",-58
67,[[5.7 3.8]],-1,[5.7 3.8],[[9.55]],"[[ 60.7]
 [-78.3]]",-58
68,[[5.1 3.8]],-1,[5.1 3.8],[[45.97]],"[[ 60.7]
 [-78.3]]",-58
69,[[6.  2.7]],1,[6.  2.7],[[94.79]],"[[ 60.7]
 [-78.3]]",-58
70,[[7.7 2.8]],1,[7.7 2.8],[[190.15]],"[[ 60.7]
 [-78.3]]",-58
71,[[4.4 3. ]],-1,[4.4 3. ],[[25.82]],"[[ 60.7]
 [-78.3]]",-58
72,[[6.2 2.2]],1,[6.2 2.2],[[146.08]],"[[ 60.7]
 [-78.3]]",-58
73,[[4.7 3.2]],-1,[4.7 3.2],[[23.27]],"[[ 60.7]
 [-78.3]]",-58
74,[[5.4 3.4]],-1,[5.4 3.4],[[-3.56]],"[[ 55.3]
 [-81.7]]",-59
75,[[6.7 3.1]],1,[6.7 3.1],[[58.24]],"[[ 55.3]
 [-81.7]]",-59
76,[[6.4 3.2]],1,[6.4 3.2],[[33.48]],"[[ 55.3]
 [-81.7]]",-59
77,[[7.6 3. ]],1,[7.6 3. ],[[116.18]],"[[ 55.3]
 [-81.7]]",-59
78,[[5.5 3.5]],-1,[5.5 3.5],[[40.8]],"[[ 55.3]
 [-81.7]]",-59
79,[[6.5 3.2]],1,[6.5 3.2],[[39.01]],"[[ 55.3]
 [-81.7]]",-59
