,x,y,X,judge_value,w,b
0,[[6.2 2.8]],1,[6.2 2.8],[[67.1]],"[[ 58.5]
 [-82. ]]",-66
1,[[5.9 3. ]],1,[5.9 3. ],[[33.15]],"[[ 58.5]
 [-82. ]]",-66
2,[[6.7 3.3]],1,[6.7 3.3],[[55.35]],"[[ 58.5]
 [-82. ]]",-66
3,[[7.7 3.8]],1,[7.7 3.8],[[72.85]],"[[ 58.5]
 [-82. ]]",-66
4,[[5.4 3.4]],-1,[5.4 3.4],[[28.9]],"[[ 58.5]
 [-82. ]]",-66
5,[[6.3 2.5]],1,[6.3 2.5],[[97.55]],"[[ 58.5]
 [-82. ]]",-66
6,[[5.  3.2]],-1,[5.  3.2],[[35.9]],"[[ 58.5]
 [-82. ]]",-66
7,[[4.6 3.4]],-1,[4.6 3.4],[[75.7]],"[[ 58.5]
 [-82. ]]",-66
8,[[5.7 4.4]],-1,[5.7 4.4],[[93.35]],"[[ 58.5]
 [-82. ]]",-66
9,[[5.2 3.4]],-1,[5.2 3.4],[[40.6]],"[[ 58.5]
 [-82. ]]",-66
10,[[6.2 2.9]],1,[6.2 2.9],[[58.9]],"[[ 58.5]
 [-82. ]]",-66
11,[[6.3 3.3]],1,[6.3 3.3],[[31.95]],"[[ 58.5]
 [-82. ]]",-66
12,[[5.5 2.4]],1,[5.5 2.4],[[58.95]],"[[ 58.5]
 [-82. ]]",-66
13,[[5.1 2.5]],1,[5.1 2.5],[[27.35]],"[[ 58.5]
 [-82. ]]",-66
14,[[5.9 3. ]],1,[5.9 3. ],[[33.15]],"[[ 58.5]
 [-82. ]]",-66
15,[[5. 2.]],1,[5. 2.],[[62.5]],"[[ 58.5]
 [-82. ]]",-66
16,[[6.5 3. ]],1,[6.5 3. ],[[68.25]],"[[ 58.5]
 [-82. ]]",-66
17,[[6.5 3. ]],1,[6.5 3. ],[[68.25]],"[[ 58.5]
 [-82. ]]",-66
18,[[6.9 3.1]],1,[6.9 3.1],[[83.45]],"[[ 58.5]
 [-82. ]]",-66
19,[[4.6 3.6]],-1,[4.6 3.6],[[92.1]],"[[ 58.5]
 [-82. ]]",-66
20,[[6.6 3. ]],1,[6.6 3. ],[[74.1]],"[[ 58.5]
 [-82. ]]",-66
21,[[4.9 3.1]],-1,[4.9 3.1],[[33.55]],"[[ 58.5]
 [-82. ]]",-66
22,[[6.7 3. ]],1,[6.7 3. ],[[79.95]],"[[ 58.5]
 [-82. ]]",-66
23,[[6.7 3. ]],1,[6.7 3. ],[[79.95]],"[[ 58.5]
 [-82. ]]",-66
24,[[5.6 2.9]],1,[5.6 2.9],[[23.8]],"[[ 58.5]
 [-82. ]]",-66
25,[[6.3 3.4]],1,[6.3 3.4],[[23.75]],"[[ 58.5]
 [-82. ]]",-66
26,[[5.6 2.7]],1,[5.6 2.7],[[40.2]],"[[ 58.5]
 [-82. ]]",-66
27,[[6.1 3. ]],1,[6.1 3. ],[[44.85]],"[[ 58.5]
 [-82. ]]",-66
28,[[6.3 2.3]],1,[6.3 2.3],[[113.95]],"[[ 58.5]
 [-82. ]]",-66
29,[[5.8 2.6]],1,[5.8 2.6],[[60.1]],"[[ 58.5]
 [-82. ]]",-66
30,[[5.7 3. ]],1,[5.7 3. ],[[21.45]],"[[ 58.5]
 [-82. ]]",-66
31,[[6.9 3.1]],1,[6.9 3.1],[[83.45]],"[[ 58.5]
 [-82. ]]",-66
32,[[6.8 2.8]],1,[6.8 2.8],[[102.2]],"[[ 58.5]
 [-82. ]]",-66
33,[[5.2 4.1]],-1,[5.2 4.1],[[98.]],"[[ 58.5]
 [-82. ]]",-66
34,[[5.8 2.7]],1,[5.8 2.7],[[51.9]],"[[ 58.5]
 [-82. ]]",-66
35,[[4.3 3. ]],-1,[4.3 3. ],[[60.45]],"[[ 58.5]
 [-82. ]]",-66
36,[[4.8 3.4]],-1,[4.8 3.4],[[64.]],"[[ 58.5]
 [-82. ]]",-66
37,[[5.2 2.7]],1,[5.2 2.7],[[16.8]],"[[ 58.5]
 [-82. ]]",-66
38,[[4.8 3. ]],-1,[4.8 3. ],[[31.2]],"[[ 58.5]
 [-82. ]]",-66
39,[[4.9 3.1]],-1,[4.9 3.1],[[33.55]],"[[ 58.5]
 [-82. ]]",-66
40,[[7.9 3.8]],1,[7.9 3.8],[[84.55]],"[[ 58.5]
 [-82. ]]",-66
41,[[5.  2.3]],1,[5.  2.3],[[37.9]],"[[ 58.5]
 [-82. ]]",-66
42,[[4.6 3.2]],-1,[4.6 3.2],[[59.3]],"[[ 58.5]
 [-82. ]]",-66
43,[[6.5 3. ]],1,[6.5 3. ],[[68.25]],"[[ 58.5]
 [-82. ]]",-66
44,[[4.9 3.1]],-1,[4.9 3.1],[[33.55]],"[[ 58.5]
 [-82. ]]",-66
45,[[6.  2.2]],1,[6.  2.2],[[104.6]],"[[ 58.5]
 [-82. ]]",-66
46,[[5.5 2.6]],1,[5.5 2.6],[[42.55]],"[[ 58.5]
 [-82. ]]",-66
47,[[5.8 4. ]],-1,[5.8 4. ],[[54.7]],"[[ 58.5]
 [-82. ]]",-66
48,[[5.4 3.9]],-1,[5.4 3.9],[[69.9]],"[[ 58.5]
 [-82. ]]",-66
49,[[6.4 2.7]],1,[6.4 2.7],[[87.]],"[[ 58.5]
 [-82. ]]",-66
50,[[6.  3.4]],1,[6.  3.4],[[6.2]],"[[ 58.5]
 [-82. ]]",-66
51,[[5.5 2.5]],1,[5.5 2.5],[[50.75]],"[[ 58.5]
 [-82. ]]",-66
52,[[5.5 4.2]],-1,[5.5 4.2],[[88.65]],"[[ 58.5]
 [-82. ]]",-66
53,[[4.7 3.2]],-1,[4.7 3.2],[[53.45]],"[[ 58.5]
 [-82. ]]",-66
54,[[6.9 3.2]],1,[6.9 3.2],[[75.25]],"[[ 58.5]
 [-82. ]]",-66
55,[[6.  2.9]],1,[6.  2.9],[[47.2]],"[[ 58.5]
 [-82. ]]",-66
56,[[6.1 3. ]],1,[6.1 3. ],[[44.85]],"[[ 58.5]
 [-82. ]]",-66
57,[[4.6 3.1]],-1,[4.6 3.1],[[51.1]],"[[ 58.5]
 [-82. ]]",-66
58,[[5.7 2.8]],1,[5.7 2.8],[[37.85]],"[[ 58.5]
 [-82. ]]",-66
59,[[6. 3.]],1,[6. 3.],[[39.]],"[[ 58.5]
 [-82. ]]",-66
60,[[5.8 2.7]],1,[5.8 2.7],[[51.9]],"[[ 58.5]
 [-82. ]]",-66
61,[[4.8 3.4]],-1,[4.8 3.4],[[64.]],"[[ 58.5]
 [-82. ]]",-66
62,[[6.  2.2]],1,[6.  2.2],[[104.6]],"[[ 58.5]
 [-82. ]]",-66
63,[[6.4 3.1]],1,[6.4 3.1],[[54.2]],"[[ 58.5]
 [-82. ]]",-66
64,[[6.7 2.5]],1,[6.7 2.5],[[120.95]],"[[ 58.5]
 [-82. ]]",-66
65,[[6.3 3.3]],1,[6.3 3.3],[[31.95]],"[[ 58.5]
 [-82. ]]",-66
66,[[6.8 3.2]],1,[6.8 3.2],[[69.4]],"[[ 58.5]
 [-82. ]]",-66
67,[[5.7 3.8]],-1,[5.7 3.8],[[44.15]],"[[ 58.5]
 [-82. ]]",-66
68,[[5.1 3.8]],-1,[5.1 3.8],[[79.25]],"[[ 58.5]
 [-82. ]]",-66
69,[[6.  2.7]],1,[6.  2.7],[[63.6]],"[[ 58.5]
 [-82. ]]",-66
70,[[7.7 2.8]],1,[7.7 2.8],[[154.85]],"[[ 58.5]
 [-82. ]]",-66
71,[[4.4 3. ]],-1,[4.4 3. ],[[54.6]],"[[ 58.5]
 [-82. ]]",-66
72,[[6.2 2.2]],1,[6.2 2.2],[[116.3]],"[[ 58.5]
 [-82. ]]",-66
73,[[4.7 3.2]],-1,[4.7 3.2],[[53.45]],"[[ 58.5]
 [-82. ]]",-66
74,[[5.4 3.4]],-1,[5.4 3.4],[[28.9]],"[[ 58.5]
 [-82. ]]",-66
75,[[6.7 3.1]],1,[6.7 3.1],[[71.75]],"[[ 58.5]
 [-82. ]]",-66
76,[[6.4 3.2]],1,[6.4 3.2],[[46.]],"[[ 58.5]
 [-82. ]]",-66
77,[[7.6 3. ]],1,[7.6 3. ],[[132.6]],"[[ 58.5]
 [-82. ]]",-66
78,[[5.5 3.5]],-1,[5.5 3.5],[[31.25]],"[[ 58.5]
 [-82. ]]",-66
79,[[6.5 3.2]],1,[6.5 3.2],[[51.85]],"[[ 58.5]
 [-82. ]]",-66
80,[[5.  3.6]],-1,[5.  3.6],[[68.7]],"[[ 58.5]
 [-82. ]]",-66
81,[[6.9 3.1]],1,[6.9 3.1],[[83.45]],"[[ 58.5]
 [-82. ]]",-66
82,[[5.1 3.5]],-1,[5.1 3.5],[[54.65]],"[[ 58.5]
 [-82. ]]",-66
83,[[6.6 2.9]],1,[6.6 2.9],[[82.3]],"[[ 58.5]
 [-82. ]]",-66
84,[[5.4 3.9]],-1,[5.4 3.9],[[69.9]],"[[ 58.5]
 [-82. ]]",-66
85,[[6.3 2.9]],1,[6.3 2.9],[[64.75]],"[[ 58.5]
 [-82. ]]",-66
86,[[7.2 3. ]],1,[7.2 3. ],[[109.2]],"[[ 58.5]
 [-82. ]]",-66
87,[[4.5 2.3]],-1,[4.5 2.3],[[-8.65]],"[[ 54. ]
 [-84.3]]",-67
88,[[4.9 2.5]],1,[4.9 2.5],[[-13.15]],"[[ 58.9]
 [-81.8]]",-66
