,x,y,X,judge_value,w,b
0,[[6.2 2.8]],1,[6.2 2.8],[[49.26]],"[[ 35.5]
 [-55.3]]",-16
1,[[5.9 3. ]],1,[5.9 3. ],[[27.55]],"[[ 35.5]
 [-55.3]]",-16
2,[[6.7 3.3]],1,[6.7 3.3],[[39.36]],"[[ 35.5]
 [-55.3]]",-16
3,[[7.7 3.8]],1,[7.7 3.8],[[47.21]],"[[ 35.5]
 [-55.3]]",-16
4,[[5.4 3.4]],-1,[5.4 3.4],[[12.32]],"[[ 35.5]
 [-55.3]]",-16
5,[[6.3 2.5]],1,[6.3 2.5],[[69.4]],"[[ 35.5]
 [-55.3]]",-16
6,[[5.  3.2]],-1,[5.  3.2],[[15.46]],"[[ 35.5]
 [-55.3]]",-16
7,[[4.6 3.4]],-1,[4.6 3.4],[[40.72]],"[[ 35.5]
 [-55.3]]",-16
8,[[5.7 4.4]],-1,[5.7 4.4],[[56.97]],"[[ 35.5]
 [-55.3]]",-16
9,[[5.2 3.4]],-1,[5.2 3.4],[[19.42]],"[[ 35.5]
 [-55.3]]",-16
10,[[6.2 2.9]],1,[6.2 2.9],[[43.73]],"[[ 35.5]
 [-55.3]]",-16
11,[[6.3 3.3]],1,[6.3 3.3],[[25.16]],"[[ 35.5]
 [-55.3]]",-16
12,[[5.5 2.4]],1,[5.5 2.4],[[46.53]],"[[ 35.5]
 [-55.3]]",-16
13,[[5.1 2.5]],1,[5.1 2.5],[[26.8]],"[[ 35.5]
 [-55.3]]",-16
14,[[5.9 3. ]],1,[5.9 3. ],[[27.55]],"[[ 35.5]
 [-55.3]]",-16
15,[[5. 2.]],1,[5. 2.],[[50.9]],"[[ 35.5]
 [-55.3]]",-16
16,[[6.5 3. ]],1,[6.5 3. ],[[48.85]],"[[ 35.5]
 [-55.3]]",-16
17,[[6.5 3. ]],1,[6.5 3. ],[[48.85]],"[[ 35.5]
 [-55.3]]",-16
18,[[6.9 3.1]],1,[6.9 3.1],[[57.52]],"[[ 35.5]
 [-55.3]]",-16
