,x,y,X,judge_value,w,b
0,[[6.2 2.8]],1,[6.2 2.8],[[78.]],"[[ 56.]
 [-79.]]",-48
1,[[5.9 3. ]],1,[5.9 3. ],[[45.4]],"[[ 56.]
 [-79.]]",-48
2,[[6.7 3.3]],1,[6.7 3.3],[[66.5]],"[[ 56.]
 [-79.]]",-48
3,[[7.7 3.8]],1,[7.7 3.8],[[83.]],"[[ 56.]
 [-79.]]",-48
4,[[5.4 3.4]],-1,[5.4 3.4],[[14.2]],"[[ 56.]
 [-79.]]",-48
5,[[6.3 2.5]],1,[6.3 2.5],[[107.3]],"[[ 56.]
 [-79.]]",-48
6,[[5.  3.2]],-1,[5.  3.2],[[20.8]],"[[ 56.]
 [-79.]]",-48
7,[[4.6 3.4]],-1,[4.6 3.4],[[59.]],"[[ 56.]
 [-79.]]",-48
8,[[5.7 4.4]],-1,[5.7 4.4],[[76.4]],"[[ 56.]
 [-79.]]",-48
9,[[5.2 3.4]],-1,[5.2 3.4],[[25.4]],"[[ 56.]
 [-79.]]",-48
10,[[6.2 2.9]],1,[6.2 2.9],[[70.1]],"[[ 56.]
 [-79.]]",-48
11,[[6.3 3.3]],1,[6.3 3.3],[[44.1]],"[[ 56.]
 [-79.]]",-48
12,[[5.5 2.4]],1,[5.5 2.4],[[70.4]],"[[ 56.]
 [-79.]]",-48
13,[[5.1 2.5]],1,[5.1 2.5],[[40.1]],"[[ 56.]
 [-79.]]",-48
14,[[5.9 3. ]],1,[5.9 3. ],[[45.4]],"[[ 56.]
 [-79.]]",-48
15,[[5. 2.]],1,[5. 2.],[[74.]],"[[ 56.]
 [-79.]]",-48
16,[[6.5 3. ]],1,[6.5 3. ],[[79.]],"[[ 56.]
 [-79.]]",-48
17,[[6.5 3. ]],1,[6.5 3. ],[[79.]],"[[ 56.]
 [-79.]]",-48
18,[[6.9 3.1]],1,[6.9 3.1],[[93.5]],"[[ 56.]
 [-79.]]",-48
19,[[4.6 3.6]],-1,[4.6 3.6],[[74.8]],"[[ 56.]
 [-79.]]",-48
20,[[6.6 3. ]],1,[6.6 3. ],[[84.6]],"[[ 56.]
 [-79.]]",-48
